BID,Time1500,Time1501,Time1502,Time1503,Time1504,Time1505,Time1506,Time1507,Time1508,Time1509,Time1510,Time1511,Time1512,Time1513,Time1514,Time1515,Time1516,Time1517,Time1518,Time1519,Time1520,Time1521,Time1522,Time1523,Time1600,Time1601,Time1602,Time1603,Time1604,Time1605,Time1606,Time1607,Time1608,Time1609,Time1610,Time1611,Time1612,Time1613,Time1614,Time1615,Time1616,Time1617,Time1618,Time1619,Time1620,Time1621,Time1622,Time1623,Time1700,Time1701,Time1702,Time1703,Time1704,Time1705,Time1706,Time1707,Time1708,Time1709,Time1710,Time1711,Time1712,Time1713,Time1714,Time1715,Time1716,Time1717,Time1718,Time1719,Time1720,Time1721,Time1722,Time1723,Time1800,Time1801,Time1802,Time1803,Time1804,Time1805,Time1806,Time1807,Time1808,Time1809,Time1810,Time1811,Time1812,Time1813,Time1814,Time1815,Time1816,Time1817,Time1818,Time1819,Time1820,Time1821,Time1822,Time1823,Time1900,Time1901,Time1902,Time1903,Time1904,Time1905,Time1906,Time1907,Time1908,Time1909,Time1910,Time1911,Time1912,Time1913,Time1914,Time1915,Time1916,Time1917,Time1918,Time1919,Time1920,Time1921,Time1922,Time1923,Time2000,Time2001,Time2002,Time2003,Time2004,Time2005,Time2006,Time2007,Time2008,Time2009,Time2010,Time2011,Time2012,Time2013,Time2014,Time2015,Time2016,Time2017,Time2018,Time2019,Time2020,Time2021,Time2022,Time2023,Time2100,Time2101,Time2102,Time2103,Time2104,Time2105,Time2106,Time2107,Time2108,Time2109,Time2110,Time2111,Time2112,Time2113,Time2114,Time2115,Time2116,Time2117,Time2118,Time2119,Time2120,Time2121,Time2122,Time2123
0,9.9588 ,6.6392 ,3.3196 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,3.7156 ,9.9588 ,7.4523 ,16.5980 ,5.6159 ,9.0886 ,7.4815 ,5.7489 ,4.6433 ,14.4409 ,10.4473 ,7.7419 ,7.6882 ,7.6882 ,5.7849 ,3.6093 ,6.6392 ,3.2091 ,3.3196 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,3.3196 ,6.6392 ,13.2784 ,10.6410 ,8.7325 ,9.5077 ,19.9176 ,15.6874 ,19.9176 ,9.5077 ,9.5077 ,12.7907 ,19.3618 ,16.5980 ,16.5980 ,10.2002 ,16.5980 ,4.1785 ,3.3196 ,3.3196 ,0.0000 ,0.0000 ,0.0000 ,3.3196 ,3.3196 ,6.6392 ,6.1696 ,10.1245 ,19.6656 ,10.7912 ,11.8894 ,10.9875 ,8.0165 ,8.5281 ,13.2784 ,12.9095 ,6.4429 ,6.1726 ,16.5980 ,9.9588 ,9.9588 ,8.2333 ,3.3196 ,3.3196 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,3.3196 ,6.6392 ,13.2784 ,14.6040 ,13.2784 ,13.2784 ,8.9541 ,3.7433 ,11.9932 ,10.7085 ,10.7912 ,13.0069 ,16.5980 ,13.2784 ,10.9875 ,19.5097 ,9.9588 ,4.0440 ,3.3196 ,3.3196 ,3.3196 ,3.3196 ,0.0173 ,0.0000 ,3.3196 ,2.3737 ,9.9588 ,16.5980 ,24.6510 ,7.1569 ,10.6410 ,3.1160 ,6.5947 ,6.1040 ,5.6927 ,6.4472 ,7.0992 ,13.2683 ,9.4737 ,13.2784 ,9.9588 ,6.6392 ,16.5980 ,3.3196 ,3.3196 ,0.0000 ,0.0000 ,0.0000 ,3.3196 ,3.3196 ,16.5980 ,13.3790 ,13.1895 ,6.2604 ,13.2905 ,11.4246 ,27.1054 ,19.9176 ,16.0494 ,7.9915 ,5.6956 ,5.6951 ,13.2784 ,13.1024 ,12.9739 ,19.9176 ,29.8765 ,2.2951 ,2.5652 ,0.0000 ,0.0000 ,0.0000 ,3.3196 ,6.6392 ,13.2784 ,13.2784 ,12.7403 ,19.9176 ,10.1245 ,10.1765 ,16.3779 ,18.9865 ,9.1131 ,15.8235 ,5.5828 ,12.6583 ,9.9588 ,10.8633 ,23.2373 
1,82.9318 ,206.9985 ,81.3057 ,0.2773 ,2.0611 ,0.0378 ,0.0000 ,48.9352 ,135.6232 ,89.5971 ,156.3979 ,250.5519 ,179.1295 ,201.3395 ,273.1106 ,238.4942 ,186.0126 ,158.5958 ,239.5809 ,187.8368 ,102.9806 ,113.5316 ,126.9993 ,159.6893 ,180.2974 ,178.7772 ,41.9951 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,21.4960 ,129.0074 ,140.1285 ,134.2292 ,129.3284 ,178.9687 ,195.3068 ,145.7415 ,163.8346 ,158.8574 ,189.5108 ,148.9118 ,105.1121 ,107.7817 ,108.5958 ,140.8128 ,88.7560 ,142.0840 ,153.2657 ,260.8961 ,1.8609 ,0.0000 ,0.0000 ,0.0000 ,207.4682 ,164.7713 ,171.8500 ,144.1610 ,197.1465 ,147.8938 ,142.3508 ,210.8930 ,182.4930 ,368.2610 ,182.8984 ,171.8165 ,260.4041 ,108.5123 ,167.7781 ,180.6040 ,250.1798 ,172.4922 ,231.4805 ,87.2679 ,0.0000 ,0.0000 ,0.0000 ,0.0243 ,144.5733 ,113.9630 ,135.7221 ,215.8157 ,190.2890 ,189.0784 ,189.1210 ,134.5054 ,193.2273 ,211.7506 ,145.3117 ,150.3997 ,164.0274 ,133.2971 ,125.8449 ,233.1671 ,226.1887 ,128.6008 ,243.3502 ,5.2797 ,3.7046 ,0.0000 ,0.0000 ,0.8556 ,105.5788 ,146.8345 ,107.5059 ,148.3848 ,182.7013 ,163.6013 ,175.3039 ,194.0769 ,165.9866 ,178.0393 ,166.4951 ,208.3007 ,115.5317 ,142.2127 ,156.2128 ,103.8763 ,222.9985 ,303.5322 ,171.2452 ,137.0051 ,0.6947 ,0.0000 ,0.0000 ,33.7713 ,35.1074 ,211.0308 ,157.7456 ,175.8854 ,174.2881 ,195.1443 ,228.8290 ,228.0455 ,94.6244 ,134.1912 ,128.0096 ,73.3914 ,93.8823 ,90.9274 ,149.9463 ,138.7790 ,172.2584 ,171.1997 ,283.6940 ,58.7962 ,15.1762 ,0.0007 ,0.0000 ,51.0833 ,129.4597 ,149.4076 ,149.1496 ,162.2430 ,195.1486 ,149.4259 ,173.9255 ,296.9793 ,257.4268 ,400.3479 ,362.6851 ,303.2336 ,142.8567 ,124.7789 ,87.0121 ,139.2154 ,180.3580 
2,59.9710 ,28.9351 ,30.5051 ,39.4811 ,0.0000 ,0.0000 ,0.0002 ,7.4528 ,50.0945 ,47.7476 ,77.5660 ,76.3388 ,40.7704 ,47.0398 ,72.4428 ,38.4719 ,43.7368 ,44.6490 ,40.7914 ,47.0997 ,60.5635 ,37.5962 ,34.6772 ,26.9812 ,33.4605 ,38.7791 ,30.0613 ,4.4973 ,0.0000 ,0.0000 ,0.0000 ,44.6306 ,24.8622 ,40.6648 ,48.7650 ,43.4421 ,28.9487 ,31.1411 ,36.9173 ,51.1136 ,77.9691 ,49.6279 ,85.9186 ,53.7236 ,35.3156 ,43.9016 ,37.9220 ,28.5014 ,32.1170 ,29.0304 ,29.7780 ,5.4629 ,0.5410 ,0.0000 ,12.6838 ,12.9874 ,24.0951 ,28.8946 ,45.4098 ,66.8663 ,68.9057 ,58.6426 ,43.4009 ,33.2737 ,54.4299 ,51.2045 ,72.8960 ,51.5527 ,32.2559 ,37.4640 ,32.3932 ,36.2133 ,30.0460 ,31.9431 ,31.7417 ,37.8058 ,0.0000 ,0.0000 ,0.7200 ,30.6168 ,31.5017 ,75.5660 ,30.2002 ,58.6762 ,85.3477 ,36.8441 ,39.1361 ,42.3326 ,65.0899 ,81.4637 ,74.1717 ,33.0138 ,32.9176 ,39.0378 ,42.4928 ,50.0407 ,27.2480 ,45.8862 ,31.3387 ,44.6306 ,5.2133 ,1.0118 ,0.6282 ,30.9256 ,31.8702 ,42.8556 ,40.0981 ,65.8276 ,42.5278 ,29.7759 ,38.2931 ,37.6228 ,36.8028 ,36.7013 ,51.3712 ,42.9718 ,24.3477 ,38.7633 ,46.6929 ,33.8581 ,26.3981 ,29.0642 ,33.3332 ,44.6306 ,0.7987 ,0.0000 ,0.0271 ,33.3223 ,26.8635 ,127.5194 ,57.5241 ,43.7853 ,35.3760 ,29.4948 ,65.1910 ,54.8527 ,101.6606 ,74.4017 ,36.2358 ,51.1777 ,61.2593 ,77.5933 ,34.3535 ,26.6165 ,53.7230 ,46.8019 ,39.3384 ,28.0858 ,5.8740 ,0.0282 ,0.2180 ,44.6306 ,55.9039 ,66.9520 ,39.5329 ,49.8139 ,57.7211 ,62.0249 ,43.6693 ,53.0956 ,88.9301 ,55.9649 ,49.9667 ,49.2510 ,29.3396 ,40.8266 ,40.4528 ,32.6920 
3,9.2771 ,10.6641 ,5.3320 ,5.3320 ,0.0000 ,0.0000 ,0.0000 ,5.3320 ,10.6641 ,10.2734 ,15.0686 ,19.4979 ,21.3282 ,15.1374 ,14.8138 ,16.9322 ,11.7881 ,16.5222 ,20.9969 ,21.9361 ,15.5491 ,15.5491 ,13.1396 ,9.3341 ,9.1600 ,10.2246 ,5.3320 ,4.3995 ,0.0000 ,0.0000 ,0.0000 ,5.3320 ,10.5033 ,13.1072 ,12.3152 ,22.2567 ,23.9313 ,37.3243 ,19.6281 ,13.9010 ,30.8477 ,24.7368 ,31.5346 ,8.9453 ,18.9685 ,19.0192 ,8.4702 ,17.4418 ,26.6602 ,6.3994 ,3.0388 ,5.3320 ,0.1514 ,0.0000 ,0.0000 ,5.3320 ,10.5409 ,13.6331 ,16.0199 ,42.6538 ,17.7988 ,22.4345 ,11.7908 ,22.8377 ,30.9768 ,13.6527 ,23.1619 ,22.5855 ,26.6602 ,21.3282 ,8.3885 ,29.8537 ,12.7987 ,9.2006 ,4.4672 ,5.3320 ,0.0000 ,0.0000 ,4.5476 ,5.3320 ,10.5859 ,14.0604 ,23.7442 ,12.3735 ,10.9029 ,22.1053 ,13.6527 ,16.2152 ,12.9068 ,22.3300 ,11.2462 ,12.4397 ,11.2862 ,17.4418 ,9.4850 ,20.0051 ,16.6196 ,11.5882 ,4.4647 ,5.3320 ,0.0000 ,0.0000 ,5.3320 ,6.5777 ,15.9961 ,17.5418 ,14.8163 ,20.3285 ,12.8585 ,19.0841 ,12.4144 ,11.4446 ,24.7133 ,42.6564 ,27.8450 ,11.2862 ,26.6602 ,9.7190 ,8.5206 ,23.3301 ,6.7259 ,15.9961 ,8.8459 ,5.3320 ,0.0000 ,0.0000 ,5.3320 ,5.3320 ,7.7044 ,8.8946 ,12.1437 ,10.1833 ,11.1088 ,21.0871 ,13.6230 ,19.2965 ,20.9110 ,9.9778 ,11.8947 ,9.7668 ,14.3722 ,9.2891 ,12.1540 ,9.2221 ,14.1553 ,23.0827 ,5.2343 ,10.6641 ,0.9828 ,0.0000 ,0.0000 ,5.3320 ,4.5948 ,11.0354 ,14.5808 ,14.3409 ,20.4710 ,8.8186 ,21.3538 ,32.6985 ,15.0087 ,19.2043 ,20.0222 ,16.2409 ,16.6004 ,7.7929 ,7.0130 ,14.2151 
4,145.0709 ,323.9658 ,294.3548 ,100.8099 ,0.4930 ,0.0000 ,0.0141 ,268.7907 ,289.2343 ,148.2188 ,131.6150 ,120.8524 ,92.2864 ,91.8027 ,67.2633 ,104.3081 ,105.3469 ,106.3782 ,105.7349 ,128.2247 ,287.3790 ,185.2296 ,252.8314 ,486.6278 ,302.7003 ,267.7659 ,208.4261 ,88.2761 ,3.7389 ,0.0000 ,0.0000 ,270.6851 ,186.2913 ,119.7265 ,135.8127 ,263.9132 ,101.9943 ,92.9061 ,126.3585 ,73.2324 ,152.2005 ,101.1847 ,215.9180 ,215.2062 ,261.4427 ,144.7208 ,298.6490 ,118.5905 ,167.5029 ,231.5457 ,225.4398 ,241.8961 ,11.1341 ,0.0000 ,25.9503 ,272.8086 ,480.1764 ,478.6695 ,336.8704 ,232.4931 ,149.5813 ,154.3758 ,81.9961 ,167.9561 ,108.5237 ,118.5590 ,110.7722 ,117.6108 ,280.6628 ,349.4168 ,277.8218 ,153.2699 ,161.2920 ,114.5785 ,201.2899 ,202.1106 ,55.8109 ,0.0000 ,187.1688 ,273.2679 ,277.4575 ,252.4494 ,144.8112 ,126.6947 ,158.8187 ,118.0756 ,121.7655 ,147.2901 ,105.1745 ,203.9115 ,176.8302 ,125.7202 ,175.7964 ,189.2652 ,190.9782 ,200.4187 ,130.3706 ,216.8548 ,192.1159 ,192.8792 ,0.0000 ,0.0000 ,280.6280 ,205.6827 ,213.3694 ,240.9770 ,171.4307 ,80.6552 ,137.2919 ,112.1727 ,197.8985 ,100.4944 ,149.0137 ,160.4287 ,134.8575 ,126.7391 ,132.1093 ,141.4215 ,122.4755 ,288.9855 ,269.5814 ,227.3939 ,231.9603 ,215.6571 ,0.0869 ,0.0000 ,153.1078 ,294.3548 ,207.6500 ,108.2086 ,134.6570 ,140.7442 ,249.3329 ,122.3312 ,243.4652 ,268.6499 ,119.6533 ,136.0968 ,143.1589 ,170.3161 ,104.4213 ,204.4020 ,224.0612 ,148.8473 ,258.3834 ,187.7576 ,320.2233 ,230.0131 ,24.2972 ,0.0000 ,1.8334 ,107.9708 ,160.1711 ,137.0415 ,242.2968 ,329.9457 ,127.5022 ,190.0242 ,396.2693 ,106.4003 ,119.4375 ,143.9119 ,123.4676 ,103.0880 ,177.9348 ,279.6185 ,195.4378 ,301.9653 
5,27.6835 ,18.4557 ,9.2278 ,9.2278 ,0.0000 ,0.0000 ,0.0000 ,9.2278 ,8.7249 ,26.5527 ,24.6499 ,29.9072 ,40.7614 ,20.7527 ,24.4874 ,28.4983 ,18.8698 ,26.1843 ,33.2115 ,17.2185 ,34.1400 ,16.3050 ,29.9897 ,36.9114 ,14.2072 ,6.3473 ,18.4557 ,0.1587 ,0.0000 ,0.0000 ,0.2174 ,9.2278 ,12.7566 ,36.9114 ,23.2035 ,53.7170 ,39.3702 ,55.3670 ,34.6881 ,22.9082 ,20.3604 ,35.2039 ,25.8388 ,19.7329 ,20.5116 ,19.2179 ,33.0264 ,36.5539 ,27.6835 ,18.4557 ,9.2278 ,4.3821 ,0.9678 ,0.0000 ,0.0000 ,9.2278 ,6.8255 ,21.9711 ,24.5781 ,47.5912 ,26.1168 ,40.7614 ,30.6501 ,46.0793 ,44.9881 ,26.2903 ,31.8477 ,15.3039 ,35.0429 ,36.9114 ,10.8731 ,16.6894 ,26.2802 ,5.6523 ,9.2278 ,1.2213 ,0.0000 ,0.0000 ,0.0000 ,9.2278 ,18.4557 ,17.5910 ,26.0345 ,41.4255 ,20.0083 ,40.7614 ,19.0766 ,54.1112 ,17.1762 ,40.1085 ,22.3742 ,13.6134 ,34.6134 ,35.0431 ,20.5630 ,16.0677 ,27.6835 ,8.6521 ,9.2278 ,1.7927 ,0.0000 ,0.0000 ,0.0000 ,9.2278 ,18.4557 ,16.1346 ,23.7879 ,50.9343 ,36.5710 ,48.4400 ,41.1857 ,20.5024 ,47.1592 ,38.9869 ,48.6107 ,33.0725 ,16.9644 ,27.5366 ,22.9590 ,13.1715 ,16.2005 ,13.8770 ,10.1723 ,9.2278 ,0.0000 ,0.0000 ,0.0000 ,9.2278 ,18.4557 ,19.3563 ,46.1392 ,29.9850 ,30.0917 ,31.3334 ,46.7592 ,19.0277 ,20.0106 ,30.3109 ,30.8769 ,17.2031 ,14.1383 ,34.7145 ,34.3664 ,21.9987 ,27.5021 ,43.6917 ,27.6835 ,18.4557 ,0.0000 ,0.6516 ,0.0000 ,9.2278 ,7.2809 ,12.5160 ,37.6022 ,14.4038 ,28.9265 ,40.0445 ,39.5951 ,18.9323 ,35.3979 ,15.7288 ,23.7458 ,20.9283 ,20.9641 ,12.6557 ,25.5809 ,26.9478 
6,77.6037 ,27.2414 ,32.8934 ,32.8934 ,0.0000 ,0.0000 ,0.0000 ,32.8934 ,37.8762 ,62.4397 ,66.3645 ,98.2913 ,73.7166 ,89.5622 ,70.2924 ,102.2131 ,87.3562 ,80.0833 ,77.5219 ,89.7948 ,57.6580 ,62.4910 ,48.1891 ,77.5435 ,51.4389 ,61.7049 ,24.7043 ,0.4467 ,3.2041 ,0.0000 ,0.0000 ,11.3076 ,60.1959 ,75.8009 ,95.6194 ,99.5769 ,69.0046 ,69.1360 ,87.6661 ,41.0069 ,52.8901 ,76.8075 ,61.7307 ,54.3335 ,66.6836 ,45.9601 ,97.2613 ,68.8156 ,78.9585 ,39.9157 ,23.3308 ,19.4358 ,5.5842 ,0.0000 ,0.4982 ,32.8934 ,38.2070 ,63.7689 ,81.9613 ,74.2992 ,61.7384 ,72.4541 ,88.5976 ,81.7361 ,89.2870 ,76.6342 ,52.8714 ,37.0623 ,52.5369 ,55.7825 ,79.5206 ,40.7244 ,24.9185 ,41.0504 ,32.8934 ,32.8934 ,0.4443 ,0.0000 ,0.0000 ,32.8934 ,65.7869 ,67.5094 ,87.1419 ,131.3876 ,59.3777 ,72.1850 ,82.8787 ,76.2105 ,79.8553 ,59.3919 ,43.7197 ,89.8511 ,122.0115 ,98.9639 ,52.6280 ,38.7622 ,48.4297 ,65.7869 ,32.8934 ,32.3391 ,2.2629 ,0.0000 ,0.0053 ,21.6664 ,45.7025 ,55.2130 ,57.1241 ,87.6712 ,54.6574 ,55.9291 ,59.3978 ,99.7119 ,100.9935 ,114.0647 ,57.5235 ,128.0927 ,98.2749 ,35.5384 ,60.0141 ,63.2532 ,52.8898 ,53.2044 ,58.2255 ,32.8934 ,0.0000 ,0.0000 ,0.0000 ,24.1434 ,39.9985 ,51.2798 ,124.6776 ,72.5765 ,91.0858 ,50.1669 ,79.4831 ,134.8290 ,68.4035 ,234.0344 ,88.8226 ,84.5509 ,66.0416 ,80.8187 ,54.5517 ,48.6976 ,70.1806 ,90.4594 ,84.7471 ,61.3177 ,16.7460 ,0.0000 ,0.5634 ,32.3701 ,25.7401 ,50.1177 ,162.3267 ,53.2685 ,87.7598 ,44.5151 ,102.3706 ,65.8266 ,72.8227 ,56.7664 ,56.7673 ,88.6880 ,81.2129 ,69.3227 ,105.5030 ,99.3700 
7,95.2743 ,122.9449 ,48.0610 ,23.9921 ,0.8263 ,0.0000 ,0.0000 ,26.2143 ,62.8392 ,98.4516 ,88.9944 ,177.9385 ,142.7542 ,196.6839 ,138.9281 ,152.4885 ,151.4134 ,148.6021 ,166.5147 ,132.0092 ,219.3975 ,111.7702 ,133.5492 ,132.6022 ,88.0481 ,76.5598 ,102.9488 ,29.0346 ,20.5603 ,0.0000 ,0.0000 ,107.0181 ,73.6161 ,77.4181 ,104.7524 ,185.6943 ,112.2402 ,118.6807 ,195.5700 ,124.2305 ,134.7723 ,159.4102 ,114.9319 ,179.1804 ,185.1085 ,136.0316 ,145.2897 ,195.0085 ,123.8733 ,110.3504 ,91.5390 ,20.4882 ,8.6137 ,0.0000 ,1.7050 ,57.4827 ,92.3058 ,105.7116 ,123.4348 ,117.1195 ,108.7563 ,134.0684 ,187.0382 ,283.4029 ,247.1626 ,160.0826 ,127.6984 ,146.6083 ,186.8412 ,103.7418 ,137.1984 ,74.4955 ,86.7788 ,72.2593 ,50.6701 ,62.9158 ,6.3123 ,0.0000 ,0.0051 ,48.2487 ,108.9522 ,88.8890 ,179.8818 ,109.5657 ,118.4314 ,137.8186 ,169.4018 ,165.5954 ,128.1843 ,181.1657 ,119.9388 ,151.6067 ,181.1064 ,147.5184 ,124.0915 ,109.3334 ,97.0555 ,74.3438 ,113.5977 ,10.7040 ,6.0737 ,0.0000 ,19.2315 ,16.4638 ,76.4607 ,81.2904 ,137.0629 ,131.9054 ,173.8352 ,103.5299 ,187.1658 ,182.9719 ,156.3301 ,148.2634 ,150.0061 ,212.3468 ,140.4612 ,130.3781 ,254.7004 ,152.2585 ,103.4784 ,76.4300 ,52.8572 ,50.2817 ,0.1200 ,0.0000 ,0.0000 ,29.8961 ,98.8248 ,87.2550 ,80.0122 ,98.6007 ,168.9343 ,175.6766 ,200.3779 ,250.5005 ,282.0423 ,193.4841 ,212.6418 ,162.9381 ,273.1443 ,215.9575 ,271.6237 ,141.8126 ,124.0016 ,247.1798 ,61.4911 ,39.4960 ,19.1832 ,17.8060 ,3.3420 ,83.4899 ,108.3564 ,86.1509 ,127.8253 ,123.6696 ,201.7287 ,153.2147 ,141.8046 ,187.7835 ,129.5580 ,203.8172 ,209.5104 ,156.1180 ,133.4021 ,155.7921 ,162.8840 ,125.8819 
8,113.5251 ,105.6073 ,63.5681 ,83.3376 ,4.8140 ,15.8008 ,20.7884 ,59.0445 ,206.6315 ,133.9744 ,114.0114 ,113.2197 ,107.7853 ,136.4692 ,108.5318 ,175.4637 ,124.0571 ,192.3629 ,141.1785 ,162.5165 ,128.2947 ,149.2032 ,145.9250 ,81.3429 ,141.4400 ,70.2600 ,73.9424 ,46.6969 ,14.4101 ,0.0000 ,0.6481 ,37.9656 ,138.4591 ,106.2652 ,91.8237 ,135.2358 ,110.8772 ,112.7262 ,107.4860 ,124.7980 ,197.6160 ,138.5467 ,165.0384 ,118.2660 ,171.0027 ,114.9375 ,130.7915 ,132.6374 ,169.1923 ,112.7123 ,58.2348 ,46.0026 ,2.7288 ,4.1816 ,5.1966 ,43.3258 ,133.0783 ,158.9551 ,100.6518 ,108.2374 ,136.4728 ,116.4153 ,161.5386 ,162.2722 ,181.0511 ,232.2938 ,157.9588 ,126.3107 ,157.3968 ,123.6505 ,118.7788 ,168.8047 ,265.5256 ,112.6343 ,134.7659 ,45.1025 ,5.1666 ,0.0000 ,0.0024 ,115.1565 ,191.7997 ,136.2816 ,139.8687 ,93.4392 ,107.9533 ,128.7977 ,151.7203 ,201.3345 ,190.9941 ,166.4144 ,159.1147 ,96.7544 ,119.9236 ,128.9983 ,120.4124 ,154.6124 ,164.0192 ,100.9451 ,126.9882 ,30.6262 ,1.0804 ,0.0000 ,1.5166 ,85.9974 ,132.2863 ,128.7065 ,77.6836 ,135.3498 ,71.0494 ,144.7715 ,119.6814 ,169.0988 ,238.2745 ,120.3122 ,191.5050 ,174.3547 ,99.6450 ,149.7651 ,120.4646 ,111.3754 ,193.0473 ,72.1562 ,183.7365 ,31.0027 ,6.3370 ,0.0000 ,0.2580 ,32.1641 ,62.7735 ,141.9246 ,122.0144 ,101.3516 ,118.1277 ,150.9027 ,175.7738 ,199.7880 ,176.1577 ,208.0908 ,243.4051 ,158.9324 ,127.8246 ,208.1246 ,125.2363 ,137.9245 ,134.0073 ,170.4647 ,90.8906 ,118.7818 ,1.9543 ,0.0000 ,0.8371 ,50.4116 ,130.0957 ,93.2066 ,189.7789 ,119.0534 ,133.3400 ,122.5690 ,131.1082 ,135.8865 ,154.8922 ,162.3866 ,169.6103 ,149.2963 ,123.1371 ,104.7720 ,141.9066 ,89.6929 
9,36.3618 ,34.3243 ,56.6837 ,6.4499 ,3.5371 ,0.0000 ,0.0000 ,58.0688 ,118.8059 ,74.8457 ,74.9750 ,80.6953 ,27.1899 ,79.5238 ,71.2249 ,116.9355 ,56.6764 ,106.0601 ,79.1318 ,47.5623 ,63.9683 ,74.9531 ,48.3089 ,50.4169 ,94.9383 ,60.1623 ,51.2801 ,0.0000 ,0.0000 ,0.0000 ,1.7725 ,60.1623 ,89.3666 ,54.7475 ,68.8218 ,45.0827 ,59.0471 ,50.1320 ,79.8884 ,115.0367 ,57.9844 ,52.4587 ,77.2529 ,89.2342 ,73.7960 ,54.7073 ,33.2197 ,89.2202 ,94.9383 ,44.0753 ,47.9567 ,0.0006 ,0.0000 ,0.0000 ,0.0000 ,60.1623 ,71.5530 ,63.6364 ,58.6906 ,105.9874 ,74.1979 ,65.8370 ,92.7839 ,78.4324 ,81.1949 ,101.6682 ,68.5753 ,75.3196 ,65.0175 ,38.8599 ,51.2142 ,91.0968 ,153.5936 ,40.0529 ,50.3734 ,0.1309 ,0.1018 ,0.0000 ,3.5504 ,60.1623 ,78.6898 ,106.5630 ,50.1724 ,47.6406 ,89.9063 ,38.0631 ,67.3373 ,101.2461 ,78.0848 ,47.8440 ,60.3426 ,94.0639 ,73.6599 ,74.1635 ,48.8715 ,67.0222 ,42.8800 ,41.9835 ,59.8595 ,0.1986 ,0.0000 ,0.0000 ,0.0000 ,60.1623 ,43.2583 ,47.9147 ,65.6450 ,40.5407 ,72.8513 ,61.8463 ,78.9866 ,47.3107 ,48.5042 ,78.3166 ,48.6478 ,39.6763 ,80.0578 ,70.2821 ,92.3756 ,114.7948 ,48.2030 ,49.8841 ,42.8365 ,20.0403 ,0.0000 ,0.0000 ,31.4647 ,60.1623 ,63.0772 ,59.2688 ,51.6228 ,86.6409 ,44.9966 ,64.6564 ,78.3816 ,70.1215 ,83.1250 ,69.3972 ,53.3307 ,57.2307 ,47.4296 ,44.4757 ,34.0191 ,38.2604 ,162.8598 ,53.3856 ,68.9094 ,16.8250 ,0.0000 ,0.0000 ,0.0000 ,16.5275 ,37.5339 ,67.0511 ,67.3568 ,45.6924 ,40.7479 ,50.8722 ,63.4964 ,56.2450 ,77.4746 ,74.9640 ,54.3173 ,71.0564 ,78.9857 ,66.6978 ,49.2916 ,66.2091 
