nIteration		silhouette_value
0		0.485212
1		0.445336
2		0.494089
3		0.562567
4		0.504026
5		0.474419
6		0.542528
7		0.497059
8		0.554840
9		0.523681
10		0.607048
11		0.517032
12		0.573353
13		0.558424
14		0.545495
15		0.536706
16		0.472269
17		0.554332
18		0.542860
19		0.555601
20		0.464098
21		0.515338
22		0.510825
23		0.521437
24		0.508984
25		0.525362
26		0.518124
27		0.399770
28		0.541648
29		0.484093
30		0.534925
31		0.585941
32		0.545204
33		0.506556
34		0.509328
35		0.525618
36		0.462943
37		0.544247
38		0.477930
39		0.512632
40		0.494832
41		0.521976
42		0.532747
43		0.501267
44		0.435293
45		0.511804
46		0.564572
47		0.488814
48		0.539520
49		0.470966
50		0.422000
51		0.547235
52		0.579647
53		0.537031
54		0.562886
55		0.515165
56		0.524737
57		0.536480
58		0.466252
59		0.529424
60		0.464579
61		0.595984
62		0.468338
63		0.583716
64		0.522551
65		0.527192
66		0.529323
67		0.454263
68		0.551445
69		0.544696
70		0.514531
71		0.541138
72		0.550832
73		0.498197
74		0.522967
75		0.602784
76		0.491738
77		0.503828
78		0.497106
79		0.518777
80		0.493196
81		0.512910
82		0.575800
83		0.430321
84		0.461546
85		0.455341
86		0.489230
87		0.547857
88		0.490845
89		0.615307
90		0.518038
91		0.565665
92		0.536823
93		0.528907
94		0.526826
95		0.490927
96		0.540522
97		0.611449
98		0.464804
99		0.520731
100		0.515307
