average Silhouette Value = 0.615307

nFID			silhouette_val
0			0.912919
1			-0.070334
2			-0.866227
3			-0.910964
4			-0.052802
5			-0.899288
6			0.725137
7			-0.403073
8			0.497590
9			0.821660
10			0.906457
11			0.893848
12			0.841839
13			0.676908
14			0.905601
15			-0.612198
16			0.709105
17			0.478044
18			0.020333
19			0.558556
20			0.582222
21			-0.260908
22			0.781009
23			-0.471298
24			0.900876
25			0.739066
26			0.788244
27			0.704809
28			-0.238663
29			-0.221420
30			-0.402578
31			-0.205577
32			-0.350962
33			0.914658
34			0.706967
35			-0.414800
36			0.802551
37			0.905377
38			-0.552624
39			-0.398315
40			0.447304
41			0.771245
42			0.692288
43			0.894439
44			-0.211654
45			0.791726
46			0.896732
47			-0.080050
48			0.854005
49			0.589014
50			0.912114
51			0.904155
52			0.909987
53			-0.512456
54			0.911759
55			0.923093
56			0.902271
57			0.876896
58			0.571470
59			0.828163
60			0.587742
61			0.460557
62			0.812267
63			-0.437636
64			0.911069
65			0.783578
66			0.826451
67			0.547939
68			0.699660
69			0.885983
70			-0.184146
71			0.906891
72			0.890530
73			0.602860
74			-0.431820
75			0.864464
76			0.886454
77			0.712655
78			0.874408
79			-0.515464
80			-0.677551
81			0.705428
82			-0.233750
83			0.899265
84			0.902654
85			0.818093
86			0.774192
87			0.290192
88			0.819764
89			0.895242
90			0.904573
91			0.906709
92			-0.634348
93			0.899411
94			0.860748
95			0.840447
96			0.885972
97			0.829654
98			0.903048
99			0.899513
100			-0.651750
101			0.834180
102			0.900888
103			0.893159
104			0.897878
105			0.803059
106			0.802455
107			0.878055
108			0.887083
109			0.848490
110			0.769173
111			0.749586
112			-0.531879
113			0.662784
114			0.894977
115			0.557909
116			0.813643
117			0.854052
118			0.753247
119			-0.202735
120			0.834354
121			0.865731
122			0.901128
123			0.893276
124			0.916414
125			0.478950
126			0.887122
127			0.900262
128			0.905030
129			0.904963
130			0.856999
131			0.892637
132			0.893526
133			0.868062
134			-0.703613
135			0.906454
136			0.815478
137			0.882251
138			-0.495315
139			0.850103
140			0.901335
141			0.892728
142			0.774169
143			0.878061
144			-0.297130
145			0.758818
146			0.873930
147			0.890039
148			0.895936
149			0.889415
150			0.854089
151			0.738343
152			0.868607
153			0.850001
154			0.684983
155			-0.391062
156			0.890578
157			0.866817
158			0.865205
159			0.800990
160			0.895953
161			0.847762
162			0.885940
163			0.801877
164			-0.391627
165			-0.674890
166			0.865358
167			-0.394646
168			0.863224
169			0.896474
170			-0.434670
171			0.759720
172			-0.512710
173			0.907904
174			0.774542
175			0.673584
176			0.682247
177			0.884420
178			-0.686805
179			0.901585
180			0.775279
181			0.900475
182			0.900042
183			0.768012
184			-0.633488
185			-0.513411
186			0.759539
187			0.125322
188			0.695528
189			0.806052
190			0.654932
191			0.550917
192			0.893083
193			0.687227
194			-0.189687
195			0.886694
196			0.788953
197			0.818612
198			0.180089
199			0.839559
200			0.889867
201			-0.234240
202			0.814132
203			0.893706
204			0.209009
205			0.915895
206			0.883845
207			0.885167
208			0.900112
209			0.904537
210			0.906115
211			0.710689
212			0.898389
213			0.877164
214			0.716987
215			0.851559
216			0.862301
217			0.833532
218			0.780826
219			-0.223622
220			0.883861
221			0.844339
222			0.051552
223			0.667919
224			0.877994
225			-0.383372
226			0.816056
227			0.854619
228			0.881634
229			0.861959
230			0.809245
231			0.782723
232			0.794605
233			-0.336486
234			0.923196
235			0.718594
236			0.775361
237			-0.202895
238			0.897660
239			0.905907
240			0.821604
241			0.707311
242			0.895831
243			0.784790
244			-0.508504
245			-0.323934
246			0.825758
247			0.893070
248			0.911106
249			0.790181
250			0.908373
251			0.873411
252			-0.352728
253			-0.342153
254			0.874373
255			0.828033
256			0.903771
257			0.832273
258			0.667254
259			0.630138
260			0.883539
261			0.859601
262			-0.116681
263			0.455652
264			0.903391
265			0.096024
266			0.853506
267			0.591136
268			0.860272
269			0.894784
270			0.902503
271			0.656673
272			0.882135
273			0.909860
274			0.846135
275			0.775458
276			0.854071
277			0.900376
278			0.902417
279			0.904083
280			0.789737
281			-0.450395
282			0.891664
