nIteration		silhouette_value
0		-0.127210
1		-0.196442
2		0.178556
3		0.272206
4		0.409003
5		0.272193
6		0.306674
7		0.148538
8		0.359149
9		0.427094
10		0.393991
11		0.268064
12		0.275225
13		0.372099
14		0.366246
15		0.254296
16		-0.086194
17		0.265235
18		0.245962
19		0.389298
20		0.392107
21		0.314820
22		0.091420
23		0.126604
24		0.338508
25		0.303676
26		-0.133982
27		0.234078
28		0.107970
29		0.155136
30		0.372188
31		0.374109
32		0.174881
33		-0.157246
34		0.061238
35		0.150748
36		0.219628
37		0.217730
38		0.280438
39		0.358743
40		-0.227279
41		0.207619
42		0.360389
43		0.391982
44		0.460661
45		0.227436
46		0.193164
47		0.148955
48		0.428908
49		-0.337184
50		0.320237
51		-0.216816
52		0.364210
53		0.319790
54		-0.049191
55		0.115501
56		0.185648
57		0.317567
58		0.283079
59		0.172400
60		-0.381678
61		0.199906
62		-0.335845
63		0.355922
64		0.283695
65		-0.175058
66		0.384761
67		0.334640
68		0.556182
69		0.419744
70		0.126711
71		-0.103123
72		0.263125
73		0.467884
74		0.472228
75		0.369248
76		0.036712
77		0.052698
78		0.441962
79		0.200782
80		0.386037
81		0.374488
82		0.583869
83		0.306146
84		0.469575
85		0.386340
86		0.346036
87		0.508533
88		0.384505
89		0.106283
90		-0.059195
91		-0.020841
92		0.318019
93		0.415186
94		0.385265
95		0.616567
96		0.443814
97		0.430054
98		0.145595
99		0.238548
100		0.286945
101		0.513640
102		0.482206
103		0.324093
104		0.468029
105		0.304881
106		0.318518
107		0.404390
108		0.414418
109		0.407525
110		0.413684
111		0.559470
112		0.509081
113		0.408665
114		0.473548
115		0.265369
116		0.545153
117		0.464730
118		0.536748
119		0.552554
120		0.516306
121		0.505143
122		0.469309
123		0.369377
124		0.444178
125		0.513836
126		0.000649
127		0.388561
128		0.359795
129		0.420270
130		0.380305
131		0.607456
132		0.562862
133		0.500612
134		0.571278
135		0.566927
136		0.604115
137		0.577673
138		0.562015
139		0.496381
140		0.540159
141		0.545043
142		0.300525
143		0.471872
144		0.482217
145		0.618786
146		0.581708
147		0.331181
148		0.108304
149		0.558585
150		0.410560
151		0.192981
152		0.561200
153		0.580884
154		0.526753
155		-0.057336
156		0.516218
157		0.534424
158		0.511142
159		0.517901
160		0.496711
161		0.539553
162		0.576409
163		0.521327
164		0.397396
165		0.409254
166		0.432999
167		0.419215
168		0.422243
169		-0.248674
170		0.517886
171		0.421223
172		-0.264776
173		0.327044
174		0.432658
175		0.477555
176		0.480079
177		0.299115
178		0.486785
179		0.404229
180		0.501769
181		0.422540
182		0.456014
183		-0.070006
184		0.549931
185		0.483821
186		0.299963
187		0.487358
188		0.510867
189		0.424300
190		0.439240
191		0.462455
192		0.540649
193		0.561708
194		0.471666
195		0.443203
196		0.513661
197		0.524562
198		0.502964
199		0.523142
200		0.480868
201		0.516576
202		0.201608
203		0.516979
204		0.490800
205		0.499065
206		0.498617
207		0.518423
208		0.487821
209		0.528456
210		0.430418
211		0.418055
212		0.408273
213		0.474565
214		0.553362
215		0.480668
216		0.458664
217		0.549911
218		0.464078
219		0.490817
220		0.482165
221		0.355594
222		0.516226
223		0.452799
224		0.558599
225		0.491877
226		0.390906
227		0.555009
228		0.465184
229		0.392279
230		0.330713
231		0.371200
232		0.562199
233		0.502298
234		0.474206
235		0.434205
236		0.031177
237		0.406611
238		0.447016
239		0.512100
240		0.498234
241		0.444283
242		0.374222
243		0.466874
244		0.467145
245		0.444471
246		0.534867
247		0.400928
248		0.565054
249		0.545647
250		0.584978
251		0.551801
252		0.599511
253		0.600570
254		0.625036
255		0.478354
256		0.525711
257		0.433077
258		0.440403
259		0.441229
260		0.523524
261		0.481730
262		0.517928
263		0.550815
264		0.460474
265		0.483384
266		0.440505
267		0.563221
268		0.546929
269		0.480176
270		0.475384
271		0.481129
272		0.502655
273		0.526079
274		0.429979
275		0.396374
276		0.364921
277		0.568513
278		0.077199
279		0.438822
280		0.517879
281		0.476291
282		0.454277
283		0.531093
284		0.466889
285		0.495132
286		0.503903
287		0.546344
288		0.489359
289		0.498880
290		0.323079
291		0.518369
292		0.510973
293		0.448949
294		0.448150
295		0.454477
296		0.478907
297		0.527667
298		0.422871
299		0.578230
300		0.387684
301		0.519948
302		0.521270
303		0.496773
304		0.500341
305		0.450207
306		0.525222
307		-0.284549
308		0.410152
309		0.439326
310		0.170055
311		0.455714
312		0.497270
313		0.579438
314		0.484184
315		0.503628
316		0.448004
317		0.514550
318		0.515320
319		0.548975
320		0.543867
321		0.438245
322		0.462776
323		0.549496
324		0.449217
325		0.481919
326		0.543701
327		0.562031
328		0.491972
329		0.525670
330		0.446890
331		0.478198
332		0.476202
333		0.555973
334		0.483903
335		0.530739
336		0.585055
337		0.489194
338		0.595449
339		0.501688
340		0.391332
341		0.519729
342		0.486891
343		0.454854
344		0.457661
345		0.317354
346		0.504941
347		0.499120
348		0.483224
349		0.548369
350		0.538599
351		0.536888
352		0.528727
353		0.460514
354		0.557676
355		0.298819
356		0.480584
357		0.479848
358		0.493079
359		0.459524
360		0.538437
361		0.553500
362		0.558655
363		0.490334
364		0.525089
365		0.470402
366		0.483216
367		0.476382
368		0.501690
369		0.484495
370		0.529605
371		0.473816
372		0.539356
373		0.506082
374		0.518344
375		0.542280
376		0.478939
377		0.507576
378		0.493548
379		0.505262
380		0.442639
381		0.497521
382		0.525278
383		0.473511
384		0.552198
385		0.494102
386		0.535618
387		0.415566
388		0.527474
389		0.374220
390		0.561835
391		0.407590
392		0.476170
393		0.560964
394		0.500758
395		0.471647
396		0.451013
397		0.506299
398		0.477923
399		0.543173
400		0.545250
401		0.487229
402		0.467615
403		0.491429
404		0.018898
405		0.450182
406		0.500530
407		0.553092
408		0.454696
409		0.573769
410		0.441705
411		0.408016
412		0.526956
413		0.481395
414		0.565108
415		0.403856
416		0.538050
417		0.494107
418		0.467335
419		0.444585
420		0.501973
421		0.485083
422		0.447489
423		0.466067
424		0.445431
425		0.439026
426		0.380953
427		0.561189
428		0.463480
429		0.467654
430		0.575310
431		0.556522
432		0.268398
433		0.515194
434		0.537126
435		0.482330
436		0.520665
437		0.488298
438		0.494577
439		0.538827
440		0.430023
441		0.537282
442		0.590980
443		0.569672
444		0.605607
445		0.607965
446		0.609340
447		0.563223
448		0.547959
449		0.584961
450		0.605842
451		0.580062
452		0.606706
453		0.600215
454		0.490965
455		0.477919
456		0.557679
457		0.352354
458		0.536034
459		0.505063
460		0.399056
461		0.540482
462		0.563105
463		0.467296
464		0.525437
465		0.551677
466		0.556724
467		0.517880
468		0.536717
469		0.624509
470		0.552135
471		0.291120
472		0.500014
473		0.534503
474		0.462788
475		0.533738
476		0.496661
477		0.523425
478		0.604557
479		0.525009
480		0.534613
481		0.491604
482		0.623056
483		0.549491
484		0.655160
485		0.606889
486		0.582310
487		0.454262
488		0.591166
489		0.640626
490		0.574857
491		0.206632
492		0.398076
493		0.623289
494		0.611686
495		0.652761
496		0.602711
497		0.658207
498		0.616136
499		0.630109
500		0.676135
