nFID, Class
3, 0
11, 0
13, 0
20, 0
22, 0
23, 0
24, 0
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
31, 0
32, 0
34, 0
35, 0
37, 0
39, 0
38, 0
40, 0
41, 0
44, 0
45, 0
47, 0
49, 0
52, 0
54, 0
57, 0
58, 0
59, 0
60, 0
61, 0
62, 0
63, 0
65, 0
66, 0
67, 0
68, 0
69, 0
70, 0
72, 0
73, 0
74, 0
76, 0
77, 0
79, 0
80, 0
82, 0
83, 0
84, 0
85, 0
86, 0
88, 0
89, 0
95, 0
97, 0
98, 0
99, 0
104, 0
106, 0
107, 0
111, 0
112, 0
113, 0
115, 0
120, 0
127, 0
129, 0
131, 0
133, 0
135, 0
136, 0
137, 0
138, 0
139, 0
142, 0
143, 0
145, 0
149, 0
150, 0
155, 0
157, 0
159, 0
163, 0
164, 0
173, 0
174, 0
178, 0
179, 0
182, 0
183, 0
185, 0
186, 0
187, 0
188, 0
189, 0
193, 0
194, 0
195, 0
196, 0
197, 0
198, 0
199, 0
200, 0
206, 0
209, 0
210, 0
211, 0
216, 0
218, 0
219, 0
220, 0
222, 0
223, 0
224, 0
226, 0
227, 0
232, 0
233, 0
234, 0
236, 0
239, 0
240, 0
241, 0
242, 0
244, 0
245, 0
246, 0
247, 0
249, 0
250, 0
251, 0
252, 0
253, 0
254, 0
256, 0
258, 0
265, 0
268, 0
269, 0
270, 0
273, 0
274, 0
275, 0
276, 0
277, 0
280, 0
283, 0
284, 0
285, 0
286, 0
288, 0
289, 0
293, 0
294, 0
295, 0
296, 0
297, 0
298, 0
299, 0
300, 0
301, 0
303, 0
306, 0
307, 0
310, 0
317, 0
318, 0
319, 0
321, 0
322, 0
323, 0
324, 0
325, 0
326, 0
328, 0
327, 0
330, 0
331, 0
334, 0
337, 0
338, 0
340, 0
341, 0
345, 0
347, 0
349, 0
352, 0
355, 0
358, 0
361, 0
363, 0
364, 0
365, 0
366, 0
368, 0
369, 0
373, 0
374, 0
375, 0
378, 0
384, 0
386, 0
391, 0
392, 0
394, 0
395, 0
401, 0
407, 0
411, 0
413, 0
416, 0
417, 0
421, 0
428, 0
431, 0
434, 0
435, 0
438, 0
443, 0
449, 0
451, 0
456, 0
457, 0
458, 0
461, 0
462, 0
464, 0
465, 0
467, 0
468, 0
469, 0
470, 0
479, 0
480, 0
485, 0
487, 0
489, 0
491, 0
494, 0
497, 0
498, 0
499, 0
500, 0
503, 0
504, 0
506, 0
508, 0
510, 0
514, 0
512, 0
516, 0
515, 0
511, 0
513, 0
517, 0
521, 0
522, 0
523, 0
524, 0
527, 0
530, 0
529, 0
538, 0
541, 0
537, 0
539, 0
540, 0
543, 0
544, 0
547, 0
551, 0
552, 0
553, 0
554, 0
558, 0
560, 0
536, 0
563, 0
564, 0
569, 0
570, 0
571, 0
572, 0
578, 0
581, 0
582, 0
583, 0
584, 0
585, 0
586, 0
587, 0
588, 0
589, 0
590, 0
591, 0
592, 0
596, 0
600, 0
605, 0
609, 0
611, 0
613, 0
616, 0
618, 0
620, 0
622, 0
623, 0
624, 0
625, 0
627, 0
630, 0
631, 0
632, 0
634, 0
635, 0
641, 0
645, 0
652, 0
653, 0
654, 0
655, 0
656, 0
664, 0
665, 0
670, 0
673, 0
674, 0
675, 0
679, 0
680, 0
683, 0
684, 0
688, 0
690, 0
692, 0
693, 0
695, 0
708, 0
706, 0
707, 0
709, 0
717, 0
722, 0
723, 0
727, 0
729, 0
733, 0
734, 0
735, 0
742, 0
743, 0
744, 0
746, 0
747, 0
751, 0
754, 0
762, 0
763, 0
764, 0
765, 0
768, 0
769, 0
770, 0
772, 0
774, 0
775, 0
777, 0
779, 0
781, 0
788, 0
789, 0
792, 0
794, 0
795, 0
796, 0
802, 0
805, 0
806, 0
808, 0
811, 0
816, 0
817, 0
819, 0
820, 0
831, 0
832, 0
833, 0
836, 0
837, 0
838, 0
841, 0
842, 0
845, 0
846, 0
847, 0
851, 0
853, 0
854, 0
855, 0
860, 0
867, 0
868, 0
869, 0
871, 0
872, 0
875, 0
878, 0
879, 0
880, 0
882, 0
884, 0
885, 0
886, 0
891, 0
889, 0
892, 0
888, 0
894, 0
896, 0
899, 0
901, 0
902, 0
905, 0
904, 0
906, 0
907, 0
911, 0
914, 0
915, 0
916, 0
920, 0
922, 0
923, 0
924, 0
931, 0
934, 0
936, 0
938, 0
939, 0
940, 0
943, 0
947, 0
948, 0
953, 0
958, 0
954, 0
962, 0
966, 0
967, 0
968, 0
969, 0
970, 0
974, 0
975, 0
978, 0
979, 0
980, 0
955, 0
981, 0
982, 0
984, 0
985, 0
986, 0
992, 0
995, 0
997, 0
999, 0
1001, 0
1002, 0
1005, 0
1006, 0
1007, 0
1010, 0
1011, 0
1015, 0
1017, 0
1020, 0
1022, 0
1030, 0
1032, 0
1035, 0
1038, 0
1044, 0
1045, 0
1047, 0
1051, 0
1054, 0
1055, 0
1058, 0
1060, 0
1062, 0
1063, 0
1065, 0
1066, 0
1067, 0
1069, 0
1070, 0
1071, 0
1072, 0
1076, 0
1073, 0
1074, 0
1079, 0
1081, 0
1083, 0
1085, 0
1086, 0
1087, 0
1090, 0
1092, 0
1094, 0
1101, 0
1103, 0
1104, 0
1107, 0
1108, 0
1111, 0
1114, 0
1117, 0
1118, 0
1119, 0
1121, 0
1123, 0
1124, 0
1125, 0
1126, 0
1128, 0
1131, 0
1134, 0
1135, 0
1136, 0
1140, 0
1151, 0
1154, 0
1156, 0
1157, 0
1159, 0
1160, 0
1162, 0
1164, 0
1165, 0
1167, 0
1170, 0
1171, 0
1172, 0
1173, 0
1176, 0
1177, 0
1178, 0
1181, 0
1182, 0
1184, 0
1188, 0
1190, 0
1192, 0
1197, 0
1198, 0
1199, 0
1200, 0
1203, 0
1204, 0
1205, 0
1206, 0
1209, 0
1212, 0
1213, 0
1215, 0
1225, 0
1224, 0
1229, 0
1230, 0
1232, 0
1233, 0
1236, 0
1237, 0
1238, 0
1239, 0
1244, 0
1246, 0
1247, 0
1248, 0
1249, 0
1251, 0
1252, 0
1253, 0
1260, 0
1258, 0
1264, 0
1266, 0
1271, 0
1272, 0
1273, 0
1274, 0
1275, 0
1276, 0
1277, 0
1278, 0
1279, 0
1280, 0
1281, 0
1283, 0
1284, 0
1288, 0
1292, 0
1293, 0
1294, 0
1296, 0
1297, 0
1302, 0
1303, 0
1308, 0
1305, 0
1311, 0
1312, 0
1314, 0
1315, 0
1319, 0
1322, 0
1329, 0
1331, 0
1332, 0
1333, 0
1334, 0
1337, 0
1338, 0
1340, 0
1342, 0
1347, 0
1349, 0
1357, 0
1361, 0
1362, 0
1363, 0
1367, 0
1368, 0
1373, 0
1374, 0
1378, 0
1386, 0
1387, 0
1391, 0
1392, 0
1397, 0
1398, 0
1401, 0
1405, 0
1407, 0
1409, 0
1410, 0
1412, 0
1413, 0
1414, 0
1417, 0
1418, 0
1421, 0
1423, 0
1424, 0
1426, 0
1428, 0
1430, 0
1432, 0
1433, 0
1434, 0
1435, 0
1436, 0
1437, 0
1438, 0
1439, 0
1440, 0
1441, 0
1442, 0
1445, 0
1443, 0
1444, 0
1454, 0
1452, 0
1453, 0
1455, 0
1456, 0
1457, 0
1458, 0
1459, 0
1461, 0
1462, 0
1465, 0
1466, 0
1467, 0
1468, 0
1469, 0
1470, 0
1473, 0
1475, 0
1480, 0
1482, 0
1487, 0
1488, 0
1491, 0
1492, 0
1495, 0
1497, 0
1498, 0
1501, 0
1511, 0
1512, 0
1515, 0
1516, 0
1518, 0
1519, 0
1520, 0
1522, 0
1523, 0
1525, 0
1526, 0
1528, 0
1530, 0
1532, 0
1534, 0
1536, 0
1537, 0
1538, 0
1540, 0
1541, 0
1543, 0
1544, 0
1545, 0
1546, 0
1548, 0
1549, 0
1550, 0
1553, 0
1554, 0
1557, 0
1559, 0
1566, 0
1572, 0
1573, 0
1574, 0
1575, 0
1576, 0
1577, 0
1579, 0
1582, 0
1583, 0
1584, 0
1588, 0
1591, 0
1602, 0
1603, 0
1604, 0
1605, 0
1606, 0
1608, 0
1609, 0
1610, 0
1612, 0
1620, 0
1622, 0
1623, 0
1626, 0
1627, 0
1629, 0
1625, 0
1640, 0
1641, 0
1644, 0
1647, 0
1648, 0
1649, 0
1656, 0
1658, 0
1659, 0
1660, 0
1665, 0
1666, 0
1667, 0
1671, 0
1673, 0
1675, 0
1676, 0
1677, 0
1678, 0
1679, 0
1680, 0
1681, 0
1682, 0
1683, 0
1687, 0
1690, 0
1693, 0
1694, 0
1695, 0
1696, 0
1703, 0
1705, 0
1706, 0
1708, 0
1709, 0
1710, 0
1711, 0
1713, 0
1716, 0
1718, 0
1720, 0
1722, 0
1723, 0
1724, 0
1726, 0
1728, 0
1729, 0
1730, 0
1735, 0
1739, 0
1741, 0
1743, 0
1744, 0
1745, 0
1746, 0
1747, 0
1748, 0
1749, 0
1752, 0
1753, 0
1757, 0
1759, 0
1760, 0
1761, 0
1763, 0
1764, 0
1765, 0
1768, 0
1769, 0
1771, 0
1772, 0
1773, 0
1776, 0
1777, 0
1780, 0
1781, 0
1783, 0
1787, 0
1788, 0
1791, 0
1792, 0
1797, 0
1798, 0
1801, 0
1802, 0
1803, 0
1805, 0
1806, 0
1813, 0
1808, 0
1810, 0
1811, 0
1812, 0
532, 0
1816, 0
1822, 0
1823, 0
1825, 0
1826, 0
1828, 0
1830, 0
1831, 0
1835, 0
1838, 0
1842, 0
1846, 0
1848, 0
1851, 0
