average Silhouette Value = 0.134094

nFID			silhouette_val
0			-0.415087
1			0.206484
2			-0.450470
3			0.251827
4			-0.817856
5			-0.097956
6			-0.599486
7			0.095195
8			0.152378
9			-0.111983
10			0.058397
11			0.219408
12			0.131759
13			0.228797
14			0.014536
15			0.055323
16			-0.000116
17			0.022760
18			0.030263
19			-0.015650
20			0.328948
21			0.268912
22			0.121094
23			0.225254
24			0.204628
25			0.201487
26			0.400919
27			0.290978
28			0.229228
29			0.168811
30			0.313631
31			0.431933
32			0.376448
33			-0.041052
34			0.359003
35			0.167131
36			-0.056436
37			0.055992
38			0.363818
39			0.329881
40			0.135838
41			0.360236
42			0.082141
43			-0.008629
44			0.065119
45			0.392039
46			-0.026851
47			0.461727
48			-0.105157
49			0.258898
50			-0.191748
51			0.176155
52			0.321190
53			-0.196623
54			0.313174
55			-0.291625
56			-0.018624
57			0.090241
58			0.236965
59			0.379199
60			0.455453
61			0.241037
62			0.126187
63			0.296504
64			0.128738
65			0.390602
66			0.262421
67			0.420663
68			0.339926
69			0.205700
70			0.332037
71			0.088018
72			0.273836
73			0.391905
74			0.429408
75			-0.304008
76			0.140980
77			0.283831
78			-0.072622
79			0.335343
80			0.048017
81			0.020759
82			0.281011
83			0.217549
84			0.361150
85			0.419164
86			0.131314
87			0.047830
88			0.107787
89			0.374964
90			0.105894
91			0.087188
92			0.134396
93			-0.025987
94			-0.072405
95			0.380012
96			0.146810
97			0.219443
98			0.243177
99			0.331717
100			0.208246
101			0.129082
102			0.026497
103			0.172346
104			0.271267
105			0.039772
106			0.286631
107			0.401769
108			-0.046349
109			0.083309
110			-0.564375
111			0.373772
112			0.309725
113			0.302964
114			0.135902
115			0.444966
116			0.077820
117			0.095562
118			-0.693690
119			0.263986
120			0.332003
121			0.148219
122			-0.208033
123			0.032691
124			0.144588
125			0.056598
126			0.123748
127			0.031181
128			0.149602
129			-0.052394
130			-0.019700
131			0.187989
132			0.138349
133			0.242546
134			0.136398
135			0.311162
136			0.332249
137			0.330615
138			0.338962
139			0.391431
140			-0.019334
141			-0.182853
142			0.230042
143			0.356293
144			-0.211880
145			0.216448
146			0.540136
147			0.050179
148			0.202721
149			0.090152
150			0.370759
151			-0.064237
152			-0.029614
153			-0.026488
154			0.163762
155			0.214464
156			-0.162913
157			0.080030
158			-0.043078
159			0.276894
160			-0.133498
161			0.499994
162			0.024433
163			0.374161
164			0.307612
165			0.077464
166			0.246646
167			-0.469568
168			0.017174
169			0.163572
170			0.086167
171			0.269966
172			-0.528494
173			0.283554
174			0.331176
175			-0.031377
176			0.156955
177			0.019068
178			0.034124
179			0.179120
180			0.052640
181			0.006496
182			0.247291
183			-0.005082
184			0.091292
185			0.376866
186			0.152339
187			0.400375
188			0.148278
189			0.304993
190			-0.034468
191			0.193342
192			0.173475
193			0.398072
194			0.255077
195			0.401609
196			0.436039
197			0.196164
198			0.137887
199			0.409493
200			0.066479
201			-0.041731
202			-0.073537
203			-0.127113
204			0.176039
205			0.074453
206			0.317117
207			0.066522
208			0.048098
209			0.052329
210			0.354072
211			0.239077
212			0.229848
213			0.091758
214			-0.105788
215			0.152600
216			0.127692
217			-0.125115
218			0.358785
219			0.415641
220			0.354271
221			-0.183615
222			0.372696
223			0.306226
224			0.317591
225			-0.051802
226			0.335302
227			0.236722
228			-0.059210
229			0.024301
230			-0.084081
231			-0.116447
232			0.158543
233			0.105136
234			0.106532
235			0.101282
236			0.186090
237			0.019180
238			0.198852
239			0.247290
240			0.285171
241			0.247674
242			0.152846
243			0.052205
244			0.141611
245			0.090182
246			0.240656
247			0.133333
248			-0.004945
249			0.345342
250			0.102085
251			0.090967
252			0.332802
253			0.317294
254			0.289876
255			-0.145656
256			0.336131
257			-0.220752
258			0.132538
259			-0.196500
260			0.514344
261			0.555204
262			0.358297
263			-0.014776
264			0.035783
265			0.173578
266			0.097217
267			-0.263639
268			0.186133
269			0.411864
270			0.351443
271			0.402199
272			0.085666
273			0.288673
274			0.201549
275			0.229782
276			0.380779
277			0.339196
278			0.025411
279			0.081036
280			0.307462
281			0.052257
282			-0.014337
283			0.117882
284			0.228813
285			0.334498
286			0.083420
287			0.407887
288			0.293240
289			0.275519
290			0.123646
291			-0.043458
292			0.071120
293			0.285340
294			0.032168
295			0.340071
296			0.099786
297			0.279131
298			0.191171
299			0.286166
300			0.308419
301			0.221510
302			-0.246508
303			0.232999
304			0.523496
305			-0.002770
306			0.253637
307			0.205218
308			0.086320
309			0.054334
310			0.366476
311			0.116425
312			-0.119079
313			-0.117443
314			-0.008936
315			-0.059329
316			0.136615
317			0.200764
318			0.231801
319			0.159764
320			-0.021325
321			0.275635
322			0.068556
323			0.340028
324			0.160177
325			0.332440
326			0.185934
327			0.360256
328			0.018766
329			-0.031343
330			0.168342
331			0.190508
332			0.207742
333			0.214499
334			0.289719
335			0.136685
336			0.042797
337			0.238043
338			0.210516
339			0.079404
340			0.407994
341			0.329624
342			0.161365
343			0.077389
344			0.155809
345			0.198409
346			0.012391
347			0.328568
348			0.026779
349			0.173819
350			0.117040
351			0.070229
352			0.259497
353			-0.069820
354			0.164842
355			0.188181
356			0.027372
357			0.108270
358			0.309482
359			0.166925
360			-0.026208
361			0.420471
362			0.158726
363			0.208982
364			0.177961
365			0.428997
366			0.186624
367			0.038046
368			0.240350
369			0.262265
370			-0.148304
371			-0.466950
372			0.104693
373			0.325038
374			0.101684
375			0.191547
376			0.227226
377			0.771863
378			0.122978
379			-0.317189
380			0.043676
381			0.516271
382			-0.133282
383			-0.157654
384			0.358736
385			0.062115
386			0.338859
387			-0.163991
388			0.387555
389			-0.052915
390			0.699875
391			0.433295
392			0.301031
393			-0.214930
394			0.194251
395			0.214249
396			-0.142859
397			-0.034732
398			-0.026846
399			0.028060
400			0.088329
401			0.272089
402			0.359141
403			0.062402
404			-0.048744
405			0.003281
406			0.157109
407			0.102529
408			-0.124632
409			-0.020341
410			0.012160
411			0.385094
412			0.211502
413			0.418718
414			-0.091936
415			-0.092933
416			0.221747
417			0.324582
418			-0.036188
419			-0.208563
420			-0.198958
421			0.085451
422			0.115463
423			0.080591
424			0.368372
425			0.041934
426			0.103479
427			-0.202151
428			0.407430
429			0.480169
430			-0.136988
431			0.292001
432			0.062425
433			-0.241256
434			0.407147
435			0.350179
436			-0.260456
437			0.190718
438			0.276865
439			-0.040283
440			0.483819
441			0.141388
442			0.462189
443			0.183204
444			0.347265
445			-0.023066
446			0.031074
447			-0.120608
448			0.162437
449			0.389633
450			-0.049192
451			0.365585
452			0.308110
453			0.114389
454			0.104830
455			0.141221
456			0.136838
457			0.177741
458			0.363902
459			-0.089492
460			-0.117103
461			0.157262
462			0.017744
463			0.070303
464			0.163719
465			0.199163
466			0.173297
467			0.099462
468			0.055385
469			0.168007
470			0.310639
471			-0.015007
472			0.508447
473			-0.097716
474			0.325268
475			-0.051805
476			-0.243664
477			0.009927
478			0.373725
479			0.028796
480			0.283090
481			0.307523
482			0.153652
483			0.321331
484			-0.138069
485			0.295241
486			-0.136028
487			0.062176
488			-0.153854
489			0.291579
490			-0.181445
491			0.229811
492			0.028755
493			-0.406381
494			0.259553
495			-0.242156
496			0.015874
497			0.316939
498			0.220336
499			0.068630
500			0.323408
501			-0.089610
502			0.137566
503			0.144562
504			0.133369
505			0.020218
506			0.200705
507			-0.056144
508			0.261072
509			0.032953
510			0.141537
511			-0.049150
512			0.167495
513			0.394883
514			-0.766384
515			-0.266288
516			0.137626
517			0.342480
518			0.662901
519			-0.197094
520			0.279526
521			0.185367
522			0.201564
523			0.305689
524			0.256043
525			0.062515
526			0.088699
527			0.158937
528			-0.140565
529			0.366136
530			0.290327
531			0.284475
532			-0.176895
533			0.023206
534			-0.487412
535			0.044129
536			0.097745
537			0.043956
538			0.077692
539			0.017460
540			0.164315
541			0.361664
542			-0.043687
543			0.231024
544			0.325111
545			0.227652
546			0.332817
547			0.084594
548			0.040014
549			0.008708
550			0.060600
551			0.260405
552			0.224505
553			0.243771
554			0.017170
555			-0.316233
556			-0.302354
557			0.114641
558			0.219400
559			0.110788
560			0.118091
561			0.159274
562			-0.180471
563			0.014252
564			0.085508
565			-0.115198
566			0.115343
567			0.012323
568			-0.120423
569			0.240823
570			0.427787
571			0.333289
572			0.252416
573			0.061088
574			0.105015
575			0.434347
576			0.035036
577			-0.117197
578			0.198770
579			-0.056046
580			-0.197899
581			0.083122
582			0.193419
583			0.307246
584			0.136000
585			0.332300
586			0.126692
587			0.281076
588			0.103321
589			0.105684
590			0.293138
591			0.297935
592			0.063457
593			0.008612
594			0.068034
595			0.121611
596			0.222023
597			-0.042820
598			0.701424
599			0.006289
600			0.058374
601			0.098262
602			0.146939
603			0.100057
604			-0.122677
605			0.138129
606			-0.027604
607			-0.003702
608			-0.257840
609			0.129379
610			-0.099131
611			0.200933
612			-0.160268
613			0.329701
614			-0.009168
615			-0.160292
616			0.276695
617			0.042660
618			0.156516
619			0.102046
620			0.302879
621			0.195040
622			0.238698
623			0.366390
624			0.159792
625			0.331754
626			0.060342
627			0.123070
628			0.464094
629			-0.063467
630			0.077905
631			0.139710
632			0.025932
633			-0.183073
634			0.364068
635			0.287923
636			-0.030722
637			0.160460
638			-0.035787
639			0.096315
640			0.204198
641			0.107003
642			0.005312
643			-0.185448
644			-0.116640
645			0.391472
646			-0.127008
647			0.014860
648			-0.218875
649			0.016412
650			0.130904
651			-0.176536
652			0.309533
653			0.310300
654			0.211755
655			0.224490
656			0.093348
657			0.040233
658			-0.230660
659			0.033688
660			-0.039135
661			-0.303087
662			-0.125972
663			0.132239
664			0.299872
665			0.113135
666			0.114655
667			0.058240
668			-0.009219
669			0.263739
670			0.196808
671			0.456368
672			-0.011106
673			0.269014
674			0.136245
675			0.181884
676			0.526943
677			0.276383
678			0.022557
679			0.120444
680			0.265193
681			0.144627
682			-0.027290
683			0.017645
684			0.342993
685			-0.039418
686			0.159939
687			0.078061
688			0.249738
689			0.161436
690			0.346718
691			0.011376
692			0.174236
693			0.169471
694			-0.030030
695			0.124185
696			-0.049295
697			0.064612
698			-0.642415
699			0.172593
700			-0.119919
701			-0.443872
702			-0.429076
703			0.247290
704			0.236973
705			-0.362283
706			0.433407
707			0.247989
708			0.028656
709			0.406887
710			-0.014895
711			-0.076912
712			0.060521
713			0.021900
714			-0.026184
715			-0.010287
716			-0.064136
717			0.047304
718			-0.091894
719			0.091749
720			-0.140396
721			-0.082520
722			0.237042
723			0.187043
724			0.000084
725			-0.283353
726			-0.158322
727			0.199880
728			0.165563
729			0.160404
730			0.167502
731			0.430758
732			-0.477061
733			0.305716
734			0.165974
735			0.299809
736			0.116020
737			0.043081
738			0.180847
739			0.217654
740			0.040430
741			0.446059
742			0.325006
743			0.393615
744			0.231437
745			0.702657
746			0.296613
747			0.305456
748			-0.142446
749			0.190823
750			0.053406
751			0.295885
752			-0.350115
753			0.001206
754			0.296290
755			-0.083383
756			0.115194
757			0.184637
758			0.189795
759			-0.050971
760			0.082825
761			0.655332
762			0.316218
763			0.370437
764			0.423284
765			0.332799
766			-0.090013
767			0.005495
768			0.176574
769			0.358452
770			0.158621
771			0.093190
772			0.321311
773			0.241353
774			0.158682
775			0.363574
776			0.153801
777			0.166904
778			0.082489
779			0.183394
780			0.136806
781			0.099271
782			0.007870
783			-0.135025
784			0.240075
785			0.749471
786			-0.283087
787			0.243540
788			0.241002
789			0.385969
790			0.050680
791			0.165867
792			0.216637
793			0.117047
794			0.070073
795			0.111387
796			0.204904
797			-0.143363
798			-0.136435
799			0.275683
800			0.296815
801			-0.128626
802			0.170342
803			-0.175588
804			-0.240758
805			0.142371
806			0.284685
807			0.398896
808			0.253043
809			0.209801
810			-0.053689
811			0.413758
812			-0.067107
813			-0.171215
814			-0.051326
815			0.062209
816			0.271464
817			0.097767
818			0.026596
819			0.294034
820			0.350156
821			-0.132867
822			-0.123695
823			0.053699
824			-0.225004
825			0.070862
826			-0.578817
827			-0.113686
828			0.134250
829			-0.070165
830			0.145551
831			0.365387
832			-0.008739
833			0.391943
834			0.359513
835			0.391908
836			0.271083
837			0.212499
838			0.334577
839			0.206470
840			0.046958
841			0.254602
842			0.245188
843			0.185889
844			0.120489
845			0.411633
846			0.308975
847			0.157297
848			-0.073985
849			0.139462
850			0.048538
851			0.368860
852			0.112904
853			0.125340
854			0.215451
855			0.089854
856			0.050160
857			0.119771
858			0.009990
859			0.129201
860			0.227052
861			0.035942
862			0.109776
863			-0.149949
864			0.104120
865			0.014719
866			0.134764
867			0.211345
868			0.117385
869			0.188887
870			0.135383
