nIteration		silhouette_value
0		0.064235
1		0.201495
2		0.208234
3		0.101122
4		0.294901
5		0.435540
6		0.424894
7		-0.089815
8		0.087146
9		0.309444
10		0.408603
11		0.451274
12		0.190329
13		0.430204
14		0.432349
15		-0.343568
16		0.167063
17		0.270750
18		0.327604
19		0.420211
20		0.407360
21		0.384450
22		0.461906
23		0.238861
24		0.371147
25		-0.278187
26		0.479485
27		0.388502
28		0.379906
29		-0.020608
30		0.383810
31		0.377061
32		0.238861
33		0.332489
34		0.174187
35		0.485638
36		0.415149
37		0.336951
38		-0.057391
39		0.462480
40		0.413834
41		-0.047725
42		0.288749
43		0.420295
44		0.510489
45		0.378924
46		0.249376
47		0.395670
48		0.437732
49		-0.179964
50		0.340093
51		0.457144
52		0.527640
53		0.296941
54		0.394417
55		0.415703
56		0.564912
57		0.518667
58		0.490848
59		0.479328
60		0.268059
61		0.429665
62		0.449338
63		0.418027
64		-0.034351
65		0.492638
66		0.445937
67		0.298074
68		0.292409
69		0.318816
70		0.433286
71		0.417527
72		0.296664
73		0.384754
74		0.512040
75		0.350236
76		0.443752
77		0.125993
78		0.505679
79		0.325284
80		0.295464
81		0.140201
82		0.095431
83		0.388360
84		-0.099028
85		0.234078
86		0.066978
87		0.294190
88		0.415217
89		0.235976
90		0.555241
91		0.144198
92		-0.222418
93		0.291028
94		0.154494
95		0.336052
96		0.545342
97		0.283880
98		0.276888
99		-0.159375
100		0.366487
101		0.482425
102		0.153273
103		-0.336572
104		-0.106937
105		0.354290
106		0.476339
107		0.448322
108		0.238925
109		-0.021511
110		0.298026
111		0.449366
112		0.440243
113		0.498601
114		-0.022160
115		0.032573
116		0.546423
117		0.452978
118		0.438875
119		0.479872
120		0.180500
121		0.515214
122		0.496713
123		0.093283
124		0.323612
125		0.487002
126		0.340496
127		0.529938
128		0.362587
129		0.261530
130		0.503980
131		0.492488
132		0.380587
133		0.530700
134		0.544307
135		0.500224
136		0.443919
137		0.117988
138		-0.276016
139		0.199756
140		-0.364078
141		0.394444
142		0.396723
143		0.292557
144		0.166794
145		0.443363
146		-0.215320
147		0.346537
148		0.284913
149		-0.007595
150		0.270545
151		-0.104797
152		0.417207
153		0.299307
154		0.299474
155		0.381973
156		0.172344
157		0.431478
158		0.416714
159		-0.211651
160		0.459615
161		0.473148
162		0.539475
163		0.167833
164		0.458424
165		0.525030
166		0.446987
167		-0.359402
168		0.071219
169		0.384180
170		0.425616
171		0.465116
172		0.519785
173		0.365213
174		0.539755
175		0.006965
176		0.369040
177		-0.079060
178		0.457338
179		0.485277
180		0.533052
181		0.506809
182		0.448770
183		0.479675
184		-0.018857
185		-0.167045
186		0.385074
187		0.343485
188		0.459128
189		0.085602
190		0.521459
191		0.236374
192		0.347456
193		0.492574
194		0.318290
195		0.414315
196		0.543828
197		-0.321648
198		0.428104
199		-0.080779
200		0.456554
201		0.131736
202		0.472453
203		0.264727
204		0.396891
205		-0.119602
206		-0.175087
207		0.045851
208		0.372044
209		0.553301
210		-0.142110
211		0.395895
212		-0.268207
213		-0.035803
214		-0.202674
215		0.215924
216		0.508502
217		0.276569
218		0.372336
219		-0.170773
220		0.447344
221		-0.115100
222		0.380662
223		0.406876
224		0.519247
225		0.390496
226		0.315467
227		0.435665
228		0.008603
