average Silhouette Value = 0.666842

nFID			silhouette_val
0			0.909534
1			-0.169217
2			0.562669
3			0.908204
4			0.560550
5			0.913567
6			-0.211328
7			-0.720554
8			-0.129264
9			0.534202
10			0.888662
11			0.824827
12			0.414085
13			0.239229
14			0.909672
15			0.569313
16			-0.097586
17			-0.318685
18			-0.148559
19			0.075918
20			-0.237571
21			-0.216465
22			-0.326743
23			-0.035264
24			0.908864
25			0.696806
26			0.885462
27			0.556695
28			0.252266
29			-0.090949
30			-0.200457
31			0.477322
32			0.477301
33			0.908295
34			-0.304847
35			0.617919
36			0.117786
37			0.911905
38			0.146260
39			-0.104755
40			0.235793
41			0.551684
42			0.059987
43			0.905850
44			0.469798
45			-0.163261
46			0.903718
47			0.563034
48			0.758569
49			-0.563804
50			0.911377
51			0.913512
52			0.908663
53			0.611257
54			0.909661
55			0.913858
56			0.905347
57			0.900344
58			-0.425878
59			-0.913936
60			-0.233729
61			-0.569745
62			0.815299
63			0.425646
64			0.912674
65			-0.101895
66			-0.370953
67			-0.079130
68			-0.372765
69			0.812693
70			0.602820
71			0.911623
72			0.907070
73			0.381380
74			-0.021401
75			0.895683
76			0.845056
77			0.763248
78			0.152097
79			0.046896
80			-0.261431
81			0.846685
82			0.544644
83			0.906166
84			0.907664
85			0.890648
86			0.854684
87			0.087364
88			0.907575
89			0.909497
90			0.867786
91			0.913907
92			-0.452278
93			0.906026
94			0.897469
95			0.696198
96			0.901516
97			0.886434
98			0.906431
99			0.910686
100			-0.343172
101			0.902896
102			0.910455
103			0.911474
104			0.914560
105			0.880182
106			-0.291194
107			0.901994
108			0.904572
109			0.896971
110			-0.419982
111			0.174668
112			0.748133
113			0.836777
114			0.906133
115			0.637563
116			0.498073
117			0.880097
118			-0.997553
119			-0.564742
120			0.902946
121			0.912313
122			0.908565
123			0.892636
124			0.852891
125			-0.286191
126			0.915236
127			0.912783
128			0.910158
129			0.913807
130			0.827828
131			0.908518
132			0.911812
133			0.864977
134			0.621671
135			0.908219
136			-0.338082
137			0.794692
138			0.660035
139			0.905548
140			0.896949
141			0.901966
142			-0.418581
143			0.910497
144			0.233984
145			0.708528
146			0.894126
147			0.911201
148			0.899118
149			0.911160
150			0.883529
151			0.858384
152			0.897272
153			0.901496
154			0.673307
155			0.427730
156			0.900625
157			0.906755
158			0.900409
159			-0.305517
160			0.910737
161			0.869515
162			0.905316
163			0.867250
164			0.003289
165			-0.336721
166			0.762388
167			-0.561738
168			0.880075
169			0.905039
170			0.549039
171			0.661123
172			0.427018
173			0.910857
174			0.819550
175			0.462750
176			0.513650
177			0.906965
178			0.633502
179			0.907450
180			0.876964
181			0.915848
182			0.907332
183			0.691703
184			-0.164363
185			-0.005078
186			0.890017
187			-0.092231
188			0.695806
189			0.856896
190			0.277369
191			0.427844
192			0.910492
193			0.549619
194			-0.108821
195			0.906197
196			-0.429534
197			0.873631
198			-0.172399
199			0.903206
200			0.904302
201			0.150742
202			0.896557
203			0.911697
204			0.233128
205			0.911925
206			0.889583
207			0.912969
208			0.897597
209			0.912249
210			0.913846
211			0.465100
212			0.907823
213			0.895332
214			0.161261
215			0.836642
216			0.885676
217			0.875028
218			0.773689
219			-0.133830
220			0.902329
221			0.768523
222			0.218511
223			-0.078663
224			0.897193
225			-0.066164
226			-0.294709
227			0.744070
228			0.899585
229			0.898359
230			0.768948
231			-0.370606
232			-0.284487
233			-0.482906
234			0.909587
235			-0.552800
236			0.886400
237			0.364712
238			0.905262
239			0.909300
240			0.775170
241			0.550230
242			0.906672
243			0.608018
244			0.192246
245			0.051088
246			0.874414
247			0.917034
248			0.905664
249			0.873633
250			0.910475
251			0.914207
252			0.588830
253			-0.302737
254			0.897992
255			0.796875
256			0.911647
257			0.816109
258			0.775722
259			0.490337
260			0.855490
261			0.875421
262			-0.123545
263			0.647885
264			0.912699
265			-0.625685
266			0.907019
267			-0.552534
268			0.908979
269			0.908645
270			0.909802
271			0.446684
272			0.915435
273			0.914201
274			0.878559
275			0.579872
276			0.908967
277			0.911406
278			0.907349
279			0.907209
280			0.852948
281			0.614381
282			0.907400
283			0.693749
284			0.770759
285			0.911601
286			0.543633
287			0.843310
288			0.908462
289			0.898344
290			0.618630
291			-0.458607
292			-0.074255
293			-0.109052
294			0.737157
295			-0.464161
296			0.918032
297			0.907529
298			-0.036531
299			0.861802
300			0.674603
301			0.840587
302			0.884335
303			0.579011
304			0.803518
305			0.912033
306			0.564491
307			0.912747
308			0.785605
309			0.759115
310			0.772857
311			0.779058
312			0.901528
313			0.900331
314			0.902392
315			0.903018
316			0.879206
317			0.910449
318			0.908027
319			0.907669
320			0.191522
321			0.912633
322			-0.137866
323			0.912194
324			0.864603
325			0.905982
326			0.912044
327			-0.166380
328			0.815157
329			0.267166
330			0.909482
331			0.872594
332			0.792200
333			0.762346
334			0.886233
335			0.899812
336			0.904957
337			0.838097
338			0.677383
339			0.516328
340			0.904447
341			0.781216
342			0.806993
343			0.916637
344			-0.163311
345			0.912539
346			0.911486
347			0.828440
348			0.873652
349			0.911827
350			0.916472
351			0.758886
352			0.719155
353			0.903723
354			0.916508
355			0.917996
356			0.856293
357			0.908548
358			0.912510
359			-0.357113
360			0.906020
361			-0.458215
362			0.906000
363			0.811988
364			0.640201
365			0.555761
366			0.889010
367			0.220906
368			-0.150848
369			0.892671
370			0.907311
371			0.178734
372			0.895742
373			0.464794
374			0.910239
375			0.740955
376			0.589768
377			0.918365
378			0.908067
379			0.908390
380			0.116615
381			0.896330
382			-0.088485
383			0.847072
384			0.904197
385			0.719077
386			0.630045
387			-0.202603
388			0.894508
389			0.911456
390			0.897885
391			0.199376
392			0.613370
393			0.855584
394			0.240282
395			0.921275
396			0.557528
397			0.897981
398			0.880114
399			0.912793
400			0.911525
401			0.910505
402			0.897608
403			0.921306
404			0.072681
405			0.908219
406			0.902982
407			0.773958
408			0.646712
409			-0.416730
410			0.747644
411			0.869149
412			0.896315
413			-0.363791
414			0.906092
415			0.855675
416			-0.322807
417			0.902569
418			0.508610
419			0.910614
420			0.891589
421			0.570644
422			0.908140
423			0.511935
424			0.899150
425			-0.412307
426			0.878028
427			0.909557
428			0.882165
429			0.897502
430			0.887905
431			0.862894
432			0.906129
433			0.897496
434			0.907028
435			0.909683
436			0.907489
437			0.893012
438			0.909915
439			0.902130
440			0.894828
441			0.827528
442			0.896289
443			0.913129
444			0.681955
445			0.707890
446			0.905727
447			0.870625
448			0.881604
449			0.910739
450			0.888335
451			0.907832
452			0.896853
453			0.879885
454			0.067724
455			-0.254151
456			0.730932
457			0.910801
458			0.905095
459			0.579874
460			0.915344
461			0.664647
462			0.902515
463			0.123069
464			0.918535
465			0.911251
466			0.900960
467			0.909911
468			0.893708
469			0.910393
470			0.913508
471			0.562755
472			0.895696
473			0.890370
474			0.584762
475			0.905972
476			0.465532
477			0.896981
478			0.907947
479			0.899141
480			0.896799
481			0.902110
482			0.889688
483			0.152919
484			0.268870
485			0.907755
486			-0.547305
487			0.906928
488			0.895037
489			0.878444
490			0.536979
491			0.871875
492			0.907583
493			0.897336
494			0.893843
495			0.591906
496			0.809339
497			0.768675
498			0.781312
499			0.905526
500			0.779464
501			0.729293
502			0.353772
503			0.892011
504			0.779453
505			0.903898
506			0.027534
507			0.866781
508			0.909845
509			0.906335
510			0.907641
511			0.885825
512			0.887529
513			-0.521131
514			0.898604
515			0.911956
516			0.916825
517			0.896239
518			0.922398
519			0.862995
520			0.898017
521			0.909893
522			0.767044
523			0.907003
524			0.605786
525			0.492389
526			-0.071911
527			0.793592
528			0.789906
529			0.811971
530			0.880126
531			-0.433829
532			0.475505
533			0.839495
534			-0.110936
535			0.796476
536			0.840396
537			0.903852
538			0.572254
539			0.548361
540			0.902397
541			0.476100
542			0.912548
543			0.862124
544			0.907668
545			0.900144
546			0.899570
547			0.139061
548			0.899970
549			0.089119
550			0.912290
551			-0.096946
552			0.833124
553			0.870107
554			0.711125
555			0.905935
556			0.550203
557			0.394936
558			0.879255
559			0.908917
560			0.233215
561			0.895581
562			0.894306
563			0.443847
564			0.914734
565			0.905369
566			0.755531
567			0.884959
568			0.264420
569			0.886431
570			0.183610
571			0.904919
572			0.890901
573			0.916273
574			0.899959
575			0.796406
576			0.866835
577			0.896326
578			0.910541
579			0.509926
580			0.544808
581			0.585190
582			0.742524
583			0.889946
584			0.908597
585			0.899802
586			0.908741
587			0.725693
588			0.784546
589			0.912260
590			0.674030
591			0.901676
592			0.921592
593			0.906065
594			0.464809
595			0.922369
596			0.912487
597			-0.332408
598			0.862163
599			0.899056
600			0.898970
601			-0.087776
602			0.901218
603			0.501466
604			0.909536
605			0.831935
606			0.907930
607			0.441775
608			0.892076
609			0.814615
610			0.343530
611			0.908756
612			0.913608
613			0.879841
614			0.888880
615			0.902822
616			0.668905
617			0.902309
618			0.910576
619			0.907545
620			0.865907
621			0.652910
622			0.888808
623			0.847779
624			0.738577
625			0.721166
626			0.897249
627			0.879569
628			0.861265
629			-0.607481
630			0.766098
631			0.915963
632			0.910993
633			0.496621
634			0.837654
635			0.500781
636			0.800126
637			0.634661
638			0.899980
639			0.683197
640			-0.176831
641			0.846445
642			0.865341
643			-0.506542
644			0.894405
645			0.556466
646			0.803633
647			0.904560
648			0.906717
649			0.908105
650			-0.120434
651			0.899523
652			0.496664
653			0.908950
654			0.887714
655			0.855529
656			0.901754
657			0.910824
658			0.875541
659			0.896508
660			0.876974
661			0.904427
662			0.880518
663			0.891179
664			0.900857
665			0.896501
666			0.808543
667			0.906198
668			0.903572
669			-0.294595
670			0.735117
671			0.898153
672			0.897119
673			0.528883
674			0.914688
675			0.898086
676			0.895992
677			0.897022
678			0.906771
679			0.913389
680			0.909661
681			0.898727
682			0.900401
683			0.908418
684			0.913108
685			0.911311
686			0.903671
687			0.629273
688			0.885639
689			0.879129
690			0.754605
691			0.898569
692			0.888267
693			0.811106
694			0.768857
695			0.536009
696			0.754000
697			0.801701
698			0.877367
699			0.267429
700			0.901742
701			0.805858
702			0.885045
703			0.226558
704			0.904430
705			0.907600
706			0.900655
707			0.910640
708			0.904845
709			0.871923
710			0.889789
711			0.911323
712			0.740318
713			0.910316
714			0.898395
715			0.907109
716			0.906793
717			0.909346
718			0.893614
719			0.907541
720			0.645061
721			0.897846
722			0.911522
723			0.909609
724			-0.040430
725			0.907854
726			0.908491
727			0.907638
728			0.857296
729			0.906743
730			0.902065
731			0.903615
732			0.859626
733			0.901365
734			0.907571
735			0.918122
736			0.896929
737			0.466685
738			0.913518
739			0.900180
740			0.696914
741			0.898960
742			0.911765
743			0.901090
744			0.912282
745			0.689481
746			0.896160
747			0.913358
748			0.898912
749			-0.348556
750			0.918276
751			0.912293
752			0.906279
753			0.903645
754			0.751926
755			0.898003
756			0.892712
757			-0.064891
758			0.861551
759			0.766670
760			0.898960
761			0.917026
762			0.871485
763			0.071318
764			0.910524
765			-0.330124
766			0.902379
767			0.184691
768			0.899029
769			-0.185449
770			0.906733
771			0.527142
772			0.911988
773			0.909718
774			0.902378
775			0.333669
776			0.583459
777			0.909786
778			0.911290
779			0.861534
780			0.682048
781			0.895408
782			0.793708
783			0.901776
784			0.443809
785			0.905594
786			0.881146
787			0.917679
788			0.911140
789			0.895398
790			0.916082
791			0.575058
792			0.910097
793			0.905014
794			0.910246
795			0.908664
796			0.651254
797			0.799770
798			0.241536
799			-0.058395
800			0.848457
801			0.903658
802			0.906088
803			0.568923
804			0.898936
805			0.916873
806			0.632883
807			0.898743
808			0.909096
809			0.905278
810			0.591073
811			0.908378
812			0.603975
813			0.808991
814			0.884994
815			0.479645
816			-0.134694
817			0.909212
818			0.327803
819			0.850340
820			0.899171
821			0.505169
822			0.597984
823			0.897391
824			0.909598
825			-0.322061
826			0.905671
827			0.896023
828			0.868573
829			0.704914
830			0.395927
831			0.908086
832			0.783744
833			0.910199
834			0.721421
835			0.904967
836			0.912059
837			0.850385
838			0.707007
839			0.884596
840			0.912595
841			0.917402
842			0.910926
843			0.799043
844			0.898525
845			0.192254
846			0.906637
847			0.735047
848			0.601012
849			0.485565
850			0.885303
851			0.915465
852			0.901512
853			0.896046
854			0.887452
855			0.827176
856			-0.125994
857			0.024571
858			0.455237
859			0.612967
860			-0.056250
861			0.912743
862			-0.488442
863			0.523898
864			0.921401
865			0.896781
866			0.901327
867			-0.479030
868			0.858754
869			0.632748
870			0.833139
871			0.891586
872			0.895007
873			-0.008067
874			0.065375
875			0.909380
876			0.912286
877			0.903312
878			0.907185
879			0.911888
880			0.874428
881			0.891961
882			0.898415
883			-0.057962
884			-0.262182
885			0.909219
886			0.910265
887			0.896359
888			0.833742
889			0.636236
890			0.616539
891			0.861293
892			0.912651
893			0.905149
894			0.916152
895			0.692997
896			0.240574
897			0.169290
898			0.878100
899			0.894973
900			0.129294
901			0.595610
902			0.915002
903			0.899466
904			0.446286
905			0.911942
906			0.350685
907			0.863737
908			0.915803
909			0.719033
910			0.890101
911			0.912589
912			0.249030
913			0.916751
914			0.911336
915			0.908840
916			0.880140
917			0.886404
918			0.906967
919			0.866761
920			0.769796
921			0.901806
922			0.863564
923			0.919960
924			0.874613
925			0.909128
926			0.851747
927			0.896823
928			0.684253
929			0.500081
930			0.897016
931			0.664424
932			0.900687
933			0.743016
934			0.900894
935			0.907731
936			0.714407
937			0.899316
938			0.621237
939			0.907326
940			0.909197
941			-0.433974
942			0.884891
943			0.674779
944			0.813784
945			0.899226
946			0.585634
947			0.751325
948			0.910134
949			0.306029
950			0.899944
951			0.894478
952			-0.485429
953			-0.134684
954			0.854767
955			-0.095877
956			0.164132
957			0.426396
958			0.909248
959			0.895190
960			0.420688
961			0.910009
962			0.909782
963			0.895059
964			0.226392
965			0.897912
966			0.909995
967			0.888141
968			0.824697
969			0.569313
970			0.909994
971			0.894170
972			0.384983
973			0.897838
974			0.769403
975			0.674087
976			0.894210
977			0.568571
978			0.884876
979			0.910867
980			0.104539
981			-0.125470
982			0.866976
983			0.902558
984			0.763841
985			0.907604
986			0.891438
987			0.820023
988			0.817780
989			0.871336
990			0.914159
991			0.896725
992			0.907976
993			0.244972
994			0.845762
995			0.521697
996			0.898542
997			0.581291
998			-0.007328
999			0.071618
1000			0.795648
1001			0.879155
1002			0.909612
1003			0.852110
1004			0.852570
1005			0.800271
1006			0.876362
1007			0.909135
1008			0.902905
1009			0.887340
1010			0.573563
1011			0.913870
1012			0.817610
1013			0.740830
1014			0.911100
1015			0.909788
1016			0.867204
1017			0.866094
1018			0.903323
1019			-0.332015
1020			-0.489131
1021			0.903936
1022			0.882933
1023			0.903636
1024			0.826156
1025			0.905771
1026			0.723361
1027			-0.855172
1028			0.901277
1029			0.114148
1030			0.278141
1031			-0.281410
1032			0.907826
1033			0.906255
1034			0.728036
1035			0.846988
1036			0.878790
1037			0.914161
1038			0.784940
1039			0.487179
1040			-0.411906
1041			0.906497
1042			0.914325
1043			0.871945
1044			0.897958
1045			0.654026
1046			0.862945
1047			0.852989
1048			0.295954
1049			0.901918
1050			-0.482994
1051			0.719948
1052			0.900920
1053			0.224125
1054			0.880518
1055			0.861295
1056			0.774031
1057			0.368670
1058			0.414431
1059			-0.822319
1060			0.647014
1061			0.844072
1062			0.889567
1063			0.863458
1064			0.808553
1065			0.892833
1066			0.902723
1067			0.909514
1068			0.356483
1069			0.337393
1070			0.616839
1071			0.396140
1072			0.502253
1073			0.829454
1074			0.902956
1075			0.903747
1076			0.068825
1077			0.901689
1078			0.862405
1079			0.900223
1080			0.850772
1081			0.911699
1082			0.812136
1083			0.909880
1084			0.895416
1085			0.913076
1086			0.912506
1087			0.695211
1088			0.806427
1089			0.908968
1090			0.911576
1091			0.833520
1092			0.897684
1093			0.878321
1094			0.909235
1095			0.868554
1096			0.897147
1097			0.911122
1098			0.898172
1099			0.898100
1100			0.912048
1101			0.622332
1102			-0.385088
1103			0.799908
1104			0.912354
1105			0.630783
1106			0.917739
1107			-0.460897
1108			0.694394
1109			0.905301
1110			0.904921
1111			0.908151
1112			0.906829
1113			-0.134936
1114			0.868026
1115			0.617361
1116			0.005351
1117			0.913564
1118			0.910318
1119			0.888277
1120			0.914906
1121			0.863221
1122			0.907668
1123			0.464652
1124			0.900588
1125			0.909010
1126			0.873366
1127			0.504979
1128			-0.562002
1129			0.901924
1130			0.781065
1131			0.912518
1132			0.792383
1133			0.892980
1134			0.909023
1135			0.910406
1136			0.774364
1137			0.846066
1138			0.898902
1139			0.898195
1140			0.874313
1141			-0.103084
1142			0.845915
1143			0.897562
1144			0.919079
1145			-0.159352
1146			0.545321
1147			-0.246874
1148			0.887463
1149			0.309788
1150			0.440270
1151			-0.233303
1152			-0.029122
1153			0.875123
1154			0.883603
1155			0.523099
1156			0.305052
1157			0.909120
1158			0.901133
1159			0.910407
1160			0.911241
1161			0.914168
1162			0.830964
1163			0.898672
1164			0.908893
1165			0.255026
1166			0.904990
1167			0.913493
1168			0.911723
1169			0.907138
1170			0.905700
1171			0.850282
1172			0.906359
1173			0.668923
1174			0.908747
1175			0.907019
1176			0.913834
1177			0.643376
1178			0.467552
1179			0.923867
1180			0.211320
1181			0.922692
1182			0.909998
1183			0.526854
1184			0.896025
1185			0.904149
1186			0.902805
1187			0.837765
1188			0.815490
1189			0.863127
1190			0.383468
1191			-0.241349
1192			-0.547537
1193			0.771057
1194			0.896472
1195			0.897053
1196			0.890030
1197			0.907729
1198			0.910765
1199			0.903600
1200			0.354518
1201			0.877484
1202			0.835917
1203			0.870976
1204			0.827048
1205			0.903329
1206			0.844017
1207			-0.390317
1208			0.202350
1209			0.916536
1210			0.907344
1211			0.805778
1212			0.899654
1213			0.907646
1214			0.904463
1215			0.914209
1216			0.091719
1217			0.647119
1218			0.719081
1219			-0.051172
1220			0.476321
1221			0.796329
1222			0.899989
1223			-0.674676
1224			0.835149
1225			0.892904
1226			0.904683
1227			0.895953
1228			0.793011
1229			0.913345
1230			0.781804
1231			0.774293
1232			0.630342
1233			0.909459
1234			0.840939
1235			0.724020
1236			0.911433
1237			0.925173
1238			0.662467
1239			-0.398408
1240			0.910649
1241			0.901128
1242			0.888659
1243			-0.383370
1244			0.847252
1245			0.896428
1246			0.623657
1247			0.015226
1248			0.313496
1249			0.914094
1250			0.908883
1251			0.907696
1252			0.909141
1253			0.907685
1254			0.916738
1255			0.911713
1256			0.822214
1257			0.863010
1258			0.897585
1259			0.913027
1260			0.910544
1261			0.719070
1262			0.904181
1263			0.911383
1264			0.908185
1265			0.904079
1266			0.853780
1267			0.901966
1268			0.895953
1269			0.116162
1270			0.908716
1271			0.906340
1272			0.817802
1273			0.606735
1274			0.073984
1275			0.909916
1276			-0.464849
1277			-0.199431
1278			0.912188
1279			0.571381
1280			0.219213
1281			0.912389
1282			0.874067
1283			0.882079
1284			0.894411
1285			0.848413
1286			0.848011
1287			0.790526
1288			0.908568
1289			0.693433
1290			0.900486
1291			0.799772
1292			-0.229321
1293			0.762790
1294			0.910258
1295			0.902539
1296			0.900562
1297			0.908287
1298			0.839738
1299			0.865803
1300			0.679666
1301			0.625177
1302			0.794315
1303			0.917772
1304			0.871390
1305			-0.672063
1306			0.904902
1307			-0.857241
1308			-0.899660
1309			0.909309
1310			0.856345
1311			0.676273
1312			0.894877
1313			0.909590
1314			-0.170263
1315			0.908997
1316			-0.310947
1317			0.887151
1318			0.494012
1319			0.911630
1320			0.803234
1321			0.914332
1322			0.798090
1323			0.665412
1324			0.791828
1325			0.912188
1326			0.755356
1327			0.900836
1328			0.532596
1329			0.915643
1330			0.891213
1331			0.910439
1332			0.907185
1333			0.908162
1334			0.813928
1335			0.514884
1336			0.909119
1337			-0.178244
1338			0.888977
1339			0.856591
1340			0.907659
1341			0.905033
1342			0.891099
1343			0.845691
1344			0.897088
1345			0.901726
1346			0.686245
1347			-0.383420
1348			0.067592
1349			0.901375
1350			0.906563
1351			0.900511
