nFID, Class
14, 0
12, 0
17, 0
21, 0
42, 0
43, 0
46, 0
51, 0
56, 0
76, 0
75, 0
78, 0
87, 0
92, 0
94, 0
102, 0
109, 0
108, 0
114, 0
117, 0
116, 0
122, 0
123, 0
130, 0
128, 0
132, 0
141, 0
147, 0
146, 0
148, 0
152, 0
156, 0
160, 0
159, 0
158, 0
161, 0
162, 0
165, 0
175, 0
184, 0
183, 0
192, 0
190, 0
191, 0
214, 0
213, 0
217, 0
215, 0
221, 0
228, 0
227, 0
231, 0
229, 0
235, 0
243, 0
255, 0
260, 0
261, 0
262, 0
271, 0
287, 0
290, 0
292, 0
304, 0
302, 0
309, 0
310, 0
313, 0
312, 0
315, 0
314, 0
316, 0
320, 0
333, 0
332, 0
335, 0
342, 0
353, 0
351, 0
356, 0
362, 0
364, 0
372, 0
370, 0
376, 0
381, 0
378, 0
385, 0
382, 0
388, 0
389, 0
387, 0
396, 0
393, 0
398, 0
404, 0
402, 0
405, 0
414, 0
412, 0
418, 0
420, 0
424, 0
423, 0
421, 0
422, 0
426, 0
429, 0
432, 0
430, 0
433, 0
437, 0
440, 0
442, 0
439, 0
445, 0
446, 0
444, 0
448, 0
453, 0
455, 0
452, 0
459, 0
464, 0
461, 0
466, 0
473, 0
471, 0
474, 0
472, 0
477, 0
478, 0
481, 0
483, 0
482, 0
488, 0
492, 0
496, 0
495, 0
505, 0
507, 0
509, 0
514, 0
511, 0
519, 0
520, 0
525, 0
526, 0
528, 0
531, 0
534, 0
535, 0
545, 0
548, 0
546, 0
562, 0
559, 0
564, 0
561, 0
565, 0
567, 0
574, 0
577, 0
575, 0
576, 0
593, 0
599, 0
597, 0
603, 0
602, 0
608, 0
610, 0
617, 0
615, 0
619, 0
627, 0
630, 0
628, 0
629, 0
636, 0
633, 0
640, 0
638, 0
643, 0
641, 0
644, 0
642, 0
647, 0
646, 0
649, 0
645, 0
651, 0
657, 0
660, 0
662, 0
659, 0
661, 0
663, 0
666, 0
669, 0
668, 0
672, 0
676, 0
677, 0
681, 0
682, 0
686, 0
687, 0
685, 0
689, 0
691, 0
694, 0
699, 0
696, 0
698, 0
700, 0
703, 0
704, 0
714, 0
710, 0
716, 0
715, 0
721, 0
719, 0
724, 0
731, 0
728, 0
736, 0
741, 0
743, 0
748, 0
749, 0
753, 0
756, 0
755, 0
758, 0
757, 0
759, 0
760, 0
766, 0
767, 0
775, 0
773, 0
776, 0
778, 0
783, 0
782, 0
784, 0
793, 0
790, 0
791, 0
800, 0
801, 0
798, 0
799, 0
804, 0
806, 0
807, 0
809, 0
812, 0
823, 0
821, 0
826, 0
827, 0
830, 0
828, 0
829, 0
831, 0
834, 0
835, 0
839, 0
840, 0
843, 0
844, 0
848, 0
852, 0
863, 0
862, 0
866, 0
870, 0
874, 0
877, 0
883, 0
890, 0
887, 0
893, 0
897, 0
898, 0
900, 0
903, 0
909, 0
910, 0
917, 0
921, 0
927, 0
925, 0
926, 0
929, 0
930, 0
935, 0
941, 0
937, 0
942, 0
944, 0
