average Silhouette Value = 0.233634

nFID			silhouette_val
0			0.238052
1			-0.528835
2			0.282416
3			-0.392141
4			-0.423428
5			0.168284
6			-0.100315
7			0.207811
8			-0.215131
9			-0.006789
10			0.476841
11			0.286819
12			0.367537
13			0.312727
14			0.168448
15			0.483748
16			0.472344
17			0.148780
18			0.435077
19			0.489645
20			0.335218
21			0.420791
22			0.054735
23			0.222986
24			0.184859
25			0.322054
26			0.286062
27			0.224871
28			0.489954
29			0.408935
30			0.427970
31			0.343981
32			0.441293
33			0.296483
34			0.346113
35			0.456696
36			-0.129882
37			0.024198
38			0.196975
39			0.214926
40			0.503918
41			0.332179
42			0.238280
43			0.109206
44			0.442753
45			0.275297
46			0.152021
47			0.370198
48			-0.064893
49			0.366835
50			0.204931
51			0.290987
52			0.320507
53			0.159992
54			0.276506
55			0.397499
56			0.273843
57			-0.054443
58			0.241889
59			0.349760
60			0.367097
61			0.453075
62			0.398913
63			0.466883
64			0.378987
65			0.242632
66			0.165262
67			0.445217
68			0.156496
69			0.401215
70			0.390852
71			0.341055
72			0.026529
73			0.202353
74			0.360950
75			0.492487
76			0.128953
77			0.096195
78			0.369582
79			0.399536
80			0.508961
81			0.421195
82			0.223587
83			0.189291
84			0.272569
85			0.295190
86			-0.222997
87			0.237349
88			-0.022600
89			0.303225
90			0.092485
91			-0.643855
92			0.316513
93			-0.116843
94			0.390733
95			0.179794
96			-0.063926
97			0.108798
98			0.331782
99			0.287002
100			-0.062990
101			0.154261
102			0.276230
103			-0.102344
104			0.100894
105			0.066497
106			0.161925
107			0.348704
108			0.089875
109			0.497031
110			-0.084965
111			0.360737
112			0.279694
113			0.220779
114			0.261148
115			0.325977
116			0.301442
117			0.118460
118			0.269303
119			0.111617
120			0.320145
121			0.208106
122			0.163314
123			0.292884
124			0.233459
125			0.511432
126			-0.178323
127			0.060316
128			-0.437191
129			0.355920
130			0.166029
131			0.131004
132			0.422957
133			0.088015
134			0.272600
135			0.321745
136			0.375475
137			0.174269
138			0.415948
139			0.306391
140			0.128558
141			0.474285
142			0.215733
143			0.278777
144			-0.081567
145			0.090791
146			0.535571
147			0.274016
148			0.453575
149			0.413301
150			0.380591
151			-0.216981
152			0.065685
153			-0.034075
154			-0.058229
155			0.428758
156			0.522038
157			0.001648
158			0.232009
159			-0.262390
160			0.256593
161			0.480332
162			0.211291
163			0.305816
164			0.325628
165			0.416683
166			-0.258375
167			0.155048
168			-0.404230
169			0.408323
170			0.039235
171			0.161264
172			0.033496
173			0.181375
174			0.301292
175			0.191958
176			0.210869
177			-0.130234
178			0.455711
179			0.094572
180			0.258333
181			0.473383
182			0.127810
183			-0.472926
184			0.382813
185			0.277498
186			0.437240
187			0.387686
188			0.399334
189			0.216319
190			0.280931
191			0.285551
192			0.162026
193			0.379297
194			0.108130
195			0.302989
196			0.387122
197			0.426961
198			0.450688
199			0.285427
200			0.052033
201			0.470116
202			-0.092063
203			-0.124638
204			0.311341
205			0.368751
206			0.397828
207			0.379746
208			0.157072
209			0.456039
210			0.326442
211			0.033329
212			0.113382
213			0.385422
214			0.488921
215			0.238912
216			0.167133
217			0.360323
218			0.388806
219			0.414914
220			0.307330
221			0.314918
222			0.408174
223			0.338300
224			0.288835
225			-0.125708
226			0.274916
227			-0.378690
228			0.387876
229			0.167702
230			-0.002793
231			0.138093
232			-0.017617
233			0.420128
234			0.102296
235			0.229124
236			0.307494
237			0.418130
238			-0.176832
239			0.212237
240			0.053712
241			0.058234
242			0.256139
243			0.341942
244			0.019665
245			0.209895
246			0.263263
247			0.388001
248			0.026507
249			0.280463
250			0.099309
251			0.380149
252			0.450136
253			0.268186
254			0.362395
255			0.297851
256			0.219387
257			-0.080723
258			0.180696
259			-0.032540
260			0.516908
261			0.496451
262			0.556856
263			-0.107864
264			0.380058
265			0.488220
266			-0.203430
267			0.050670
268			0.190772
269			0.216178
270			0.166655
271			0.569633
272			0.434553
273			0.335168
274			0.259353
275			-0.035685
276			0.307509
277			0.272389
278			0.013185
279			0.411408
280			0.451062
281			-0.176185
282			0.403138
283			0.051952
284			0.434000
285			0.092249
286			-0.165798
287			0.489528
288			0.323623
289			0.436945
290			0.234912
291			0.094767
292			0.412077
293			0.419274
294			0.431119
295			0.305931
296			0.420511
297			0.244987
298			0.364975
299			0.330795
300			0.460582
301			0.356603
302			0.481478
303			0.064776
304			0.499432
305			0.150527
306			0.357253
307			0.405967
308			0.186601
309			0.342675
310			-0.266194
311			0.017146
312			0.488327
313			0.207223
314			0.312984
315			0.413773
316			0.174602
317			0.100755
318			0.093525
319			0.143808
320			0.225123
321			0.368080
322			0.487888
323			0.325933
324			0.408882
325			0.275738
326			0.360180
327			0.265167
328			0.202782
329			0.511403
330			0.329654
331			0.321929
332			0.404624
333			0.192178
334			0.178300
335			0.400628
336			0.389882
337			0.166786
338			0.343943
339			0.319320
340			0.322075
341			0.398756
342			0.321694
343			-0.129617
344			0.445705
345			0.330855
346			-0.087572
347			0.396934
348			0.006319
349			0.327973
350			0.394032
351			0.237664
352			0.215640
353			0.486481
354			0.386834
355			0.157866
356			0.312212
357			-0.095469
358			0.226706
359			0.350093
360			-0.367434
361			0.239344
362			0.352464
363			0.188127
364			-0.457372
365			0.272903
366			0.395029
367			0.497172
368			0.438105
369			0.214386
370			0.188410
371			0.109690
372			0.110528
373			0.484048
374			0.331568
375			0.088041
376			0.417027
377			0.140163
378			0.220991
379			0.013086
380			-0.028331
381			0.558083
382			0.444372
383			0.143049
384			0.306870
385			0.357807
386			0.157144
387			0.489859
388			0.521710
389			0.212172
390			0.239969
391			0.320004
392			0.224259
393			0.502920
394			0.027318
395			0.110417
396			0.120476
397			0.134753
398			0.282488
399			-0.069120
400			-0.077296
401			0.419656
402			0.503236
403			0.013363
404			0.289887
405			0.190268
406			-0.328424
407			0.193225
408			0.098411
409			-0.202230
410			0.055010
411			0.247603
412			0.395311
413			0.333806
414			0.335955
415			-0.184208
