nFID, Class
13, 0
14, 0
15, 0
19, 0
37, 0
52, 0
53, 0
54, 0
60, 0
63, 0
67, 0
81, 0
86, 0
88, 0
89, 0
90, 0
91, 0
92, 0
102, 0
109, 0
110, 0
111, 0
126, 0
129, 0
130, 0
131, 0
132, 0
142, 0
143, 0
145, 0
146, 0
147, 0
148, 0
149, 0
150, 0
152, 0
158, 0
159, 0
160, 0
161, 0
173, 0
174, 0
182, 0
183, 0
187, 0
192, 0
219, 0
224, 0
226, 0
232, 0
235, 0
236, 0
237, 0
238, 0
241, 0
257, 0
260, 0
261, 0
264, 0
265, 0
266, 0
268, 0
270, 0
271, 0
275, 0
278, 0
279, 0
280, 0
285, 0
288, 0
290, 0
294, 0
301, 0
302, 0
307, 0
319, 0
328, 0
330, 0
331, 0
340, 0
341, 0
342, 0
354, 0
356, 0
357, 0
369, 0
392, 0
403, 0
407, 0
422, 0
424, 0
427, 0
463, 0
466, 0
469, 0
476, 0
483, 0
498, 0
499, 0
501, 0
500, 0
506, 0
507, 0
508, 0
509, 0
511, 0
516, 0
517, 0
522, 0
523, 0
524, 0
531, 0
536, 0
539, 0
540, 0
546, 0
547, 0
548, 0
549, 0
550, 0
551, 0
552, 0
553, 0
554, 0
555, 0
556, 0
557, 0
559, 0
561, 0
562, 0
566, 0
567, 0
568, 0
569, 0
570, 0
571, 0
576, 0
577, 0
592, 0
607, 0
613, 0
616, 0
617, 0
622, 0
628, 0
625, 0
631, 0
636, 0
638, 0
639, 0
643, 0
644, 0
645, 0
651, 0
661, 0
664, 0
665, 0
666, 0
667, 0
668, 0
669, 0
687, 0
693, 0
695, 0
699, 0
700, 0
701, 0
709, 0
710, 0
711, 0
712, 0
713, 0
722, 0
733, 0
735, 0
737, 0
744, 0
745, 0
746, 0
747, 0
748, 0
749, 0
750, 0
751, 0
752, 0
753, 0
755, 0
756, 0
765, 0
782, 0
790, 0
794, 0
797, 0
813, 0
819, 0
822, 0
823, 0
826, 0
829, 0
833, 0
840, 0
844, 0
845, 0
847, 0
852, 0
855, 0
856, 0
864, 0
867, 0
869, 0
870, 0
885, 0
893, 0
894, 0
906, 0
909, 0
936, 0
941, 0
950, 0
952, 0
954, 0
955, 0
957, 0
960, 0
963, 0
965, 0
968, 0
970, 0
971, 0
976, 0
981, 0
987, 0
1007, 0
1015, 0
1017, 0
1032, 0
1051, 0
1059, 0
1061, 0
1063, 0
1070, 0
1072, 0
1076, 0
1078, 0
1079, 0
1080, 0
1082, 0
1087, 0
1092, 0
1094, 0
1096, 0
1103, 0
1104, 0
1106, 0
1107, 0
1112, 0
1114, 0
1116, 0
1117, 0
1118, 0
1120, 0
1121, 0
1123, 0
1128, 0
1131, 0
1136, 0
1137, 0
1143, 0
1145, 0
1148, 0
1155, 0
1156, 0
1159, 0
1160, 0
1162, 0
1163, 0
1164, 0
1165, 0
1168, 0
1169, 0
1172, 0
1175, 0
1178, 0
1183, 0
1186, 0
1189, 0
1197, 0
1207, 0
1210, 0
1227, 0
1230, 0
1238, 0
1241, 0
1278, 0
1285, 0
1286, 0
1291, 0
1297, 0
1308, 0
1313, 0
1322, 0
1323, 0
1325, 0
1327, 0
1331, 0
1332, 0
1333, 0
1336, 0
1340, 0
1339, 0
1342, 0
1349, 0
1350, 0
1352, 0
1353, 0
1354, 0
1358, 0
1378, 0
1380, 0
1385, 0
1388, 0
1389, 0
1390, 0
1391, 0
1405, 0
1410, 0
1413, 0
1420, 0
1422, 0
1428, 0
1426, 0
1427, 0
1429, 0
1432, 0
1434, 0
1435, 0
1440, 0
1446, 0
1444, 0
1447, 0
1448, 0
1449, 0
1454, 0
1452, 0
1455, 0
1457, 0
1462, 0
1474, 0
1472, 0
1479, 0
1483, 0
1480, 0
1491, 0
1496, 0
1500, 0
1499, 0
1502, 0
1506, 0
1521, 0
1524, 0
1529, 0
1528, 0
1543, 0
1553, 0
1555, 0
1556, 0
1563, 0
1561, 0
1571, 0
1581, 0
1588, 0
1593, 0
1589, 0
1590, 0
1591, 0
1592, 0
1594, 0
1596, 0
1597, 0
1598, 0
1601, 0
1607, 0
1605, 0
1604, 0
1609, 0
1615, 0
1617, 0
1616, 0
1621, 0
1618, 0
1619, 0
1620, 0
1624, 0
1622, 0
1623, 0
1628, 0
1625, 0
1627, 0
1631, 0
1629, 0
1630, 0
1635, 0
1632, 0
1633, 0
1634, 0
1638, 0
1637, 0
1636, 0
1639, 0
1645, 0
1643, 0
1649, 0
1646, 0
1648, 0
1652, 0
1650, 0
1656, 0
1654, 0
1655, 0
1660, 0
1661, 0
1672, 0
1671, 0
1675, 0
1676, 0
1678, 0
1679, 0
1680, 0
1681, 0
1682, 0
1683, 0
1684, 0
1689, 0
1685, 0
1687, 0
1691, 0
1693, 0
1698, 0
1696, 0
1697, 0
1701, 0
1709, 0
1706, 0
1707, 0
1711, 0
1714, 0
1715, 0
1719, 0
1721, 0
1722, 0
1723, 0
1724, 0
1730, 0
1732, 0
1733, 0
1734, 0
1736, 0
1737, 0
1739, 0
1740, 0
1741, 0
1744, 0
1749, 0
1747, 0
1745, 0
1748, 0
1751, 0
1750, 0
1756, 0
1752, 0
1753, 0
1754, 0
1755, 0
1758, 0
1757, 0
1759, 0
1762, 0
1761, 0
1766, 0
1764, 0
1765, 0
1767, 0
1770, 0
1768, 0
1769, 0
1774, 0
1771, 0
1772, 0
1773, 0
1777, 0
1781, 0
1778, 0
1779, 0
1780, 0
1787, 0
1792, 0
1798, 0
1807, 0
1808, 0
1818, 0
1817, 0
1823, 0
1828, 0
1829, 0
1836, 0
1844, 0
1840, 0
1846, 0
1845, 0
1851, 0
1848, 0
1850, 0
1853, 0
1852, 0
1858, 0
1854, 0
1856, 0
1857, 0
1859, 0
1865, 0
1861, 0
1862, 0
1864, 0
1870, 0
1876, 0
1874, 0
1875, 0
1879, 0
1877, 0
1878, 0
1880, 0
1881, 0
1886, 0
1884, 0
1885, 0
1890, 0
1887, 0
1888, 0
1889, 0
1893, 0
1897, 0
1894, 0
1895, 0
1896, 0
1900, 0
1898, 0
1904, 0
1901, 0
1902, 0
1903, 0
1907, 0
1905, 0
1906, 0
1908, 0
1909, 0
1910, 0
1914, 0
1913, 0
1922, 0
1923, 0
1937, 0
1938, 0
1939, 0
1940, 0
1941, 0
1943, 0
1944, 0
1945, 0
1946, 0
1947, 0
1948, 0
1949, 0
1950, 0
1951, 0
1953, 0
1957, 0
1963, 0
1964, 0
1965, 0
1966, 0
1967, 0
1968, 0
1994, 0
1997, 0
