nFID,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.896591,0.656818,0.079545,0.000000,0.022727,0.000000,0.068182,0.193182,0.760227,1.795455,1.451136,1.743182,1.389773,0.959091,1.378409,1.415909,1.055682,1.270455,1.042045,1.257954,1.285227,0.956818,1.310227,1.187500
2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.315385,1.461538,0.692308,0.307692,0.000000,0.000000,0.153846,0.923077,0.923077,0.230769,0.153846,0.076923,0.000000,0.153846,0.000000,0.000000
3,0.816768,0.431515,0.273737,0.083636,0.014141,0.000000,0.004040,0.185657,0.809899,1.468081,1.640202,1.445252,1.298586,1.527273,1.418586,1.180606,1.123232,1.059596,1.201414,1.420808,0.974545,1.071919,1.203434,1.097172
4,1.325289,0.986569,0.410178,0.076600,0.000000,0.000000,0.078279,0.691396,1.300525,2.270619,2.245855,2.735362,2.730430,2.798426,3.001679,2.639979,2.632529,2.541553,2.690556,2.841763,2.502309,2.440294,2.733578,2.453095
5,0.077976,0.037500,0.014286,0.000000,0.000000,0.000000,0.000000,0.017857,0.035714,0.212381,0.385119,0.213571,0.262857,0.255714,0.304048,0.189048,0.242381,0.227976,0.237143,0.310357,0.253690,0.243214,0.188929,0.148571
6,0.020408,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133673,0.000000,0.000000,0.000000,0.025510,0.076531,0.064286,0.000000,0.127551,0.000000,0.015306,0.056122,0.000000,0.127551
7,0.618182,0.440909,0.036364,0.000000,0.000000,0.000000,0.036364,0.340909,0.672727,1.313636,0.848182,0.777273,0.770000,0.700000,0.668182,1.277273,0.818182,0.967273,0.923636,0.654545,0.789091,0.710909,0.718182,0.740000
8,0.305532,0.276596,0.000000,0.000000,0.000000,0.000000,0.000000,0.145957,0.510213,0.655319,0.572340,0.514894,0.480426,0.601702,0.493191,0.440851,0.667660,0.463830,0.527234,0.691064,0.581702,0.674468,0.912766,0.423830
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.562963,0.222222,0.037037,0.111111,0.074074,0.192593,0.037037,0.037037,0.074074,0.111111,0.074074,0.074074,0.037037,0.185185,0.037037
