nFID, Class
3498, 0
3496, 0
2833, 0
2523, 0
3347, 0
3369, 0
3271, 0
3057, 0
3356, 0
3209, 0
3955, 0
3380, 0
3406, 0
3158, 0
3287, 0
3105, 0
3289, 0
4829, 0
3087, 0
3776, 0
3392, 0
2494, 0
2825, 0
3900, 0
5732, 0
1595, 0
4429, 0
3140, 0
3035, 0
4377, 0
3228, 0
3159, 0
1033, 0
2849, 0
3128, 0
612, 0
4358, 0
3556, 0
3527, 0
4456, 0
2710, 0
5750, 0
2429, 0
4454, 0
3823, 0
1669, 0
3136, 0
2323, 0
2076, 0
1743, 0
1027, 0
3436, 0
1051, 0
4218, 0
3574, 0
3986, 0
2314, 0
4464, 0
2553, 0
2859, 0
4257, 0
3141, 0
1904, 0
924, 0
2896, 0
1941, 0
3737, 0
1384, 0
1829, 0
2179, 0
2931, 0
2977, 0
2075, 0
2785, 0
2178, 0
4434, 0
2378, 0
843, 0
3319, 0
2919, 0
3037, 0
2267, 0
2108, 0
945, 0
2411, 0
1383, 0
3086, 0
1656, 0
4430, 0
2707, 0
2293, 0
2573, 0
1608, 0
2723, 0
1452, 0
5768, 0
3688, 0
3144, 0
3630, 0
3742, 0
2583, 0
2371, 0
2319, 0
3048, 0
3938, 0
2025, 0
3307, 0
4463, 0
2063, 0
3620, 0
3281, 0
3062, 0
3902, 0
534, 0
1509, 0
1298, 0
3486, 0
1577, 0
3490, 0
3349, 0
2807, 0
4319, 0
3924, 0
1574, 0
1969, 0
3516, 0
3085, 0
3634, 0
2662, 0
2405, 0
2247, 0
1902, 0
5830, 0
4029, 0
3987, 0
3971, 0
1290, 0
237, 0
2846, 0
2798, 0
2750, 0
862, 0
3794, 0
3588, 0
4236, 0
1421, 0
2980, 0
1440, 0
947, 0
5906, 0
2689, 0
5891, 0
2362, 0
869, 0
3452, 0
4923, 0
4224, 0
4436, 0
1911, 0
5875, 0
3161, 0
2705, 0
2912, 0
2162, 0
2865, 0
4231, 0
5970, 0
1131, 0
2601, 0
1102, 0
2624, 0
1939, 0
4445, 0
5822, 0
4299, 0
3790, 0
1604, 0
4075, 0
3553, 0
1744, 0
1622, 0
5850, 0
2062, 0
3094, 0
4405, 0
2261, 0
2992, 0
3046, 0
3887, 0
2225, 0
5771, 0
3461, 0
4449, 0
4978, 0
2138, 0
2185, 0
5495, 0
1412, 0
2559, 0
4811, 0
2477, 0
3462, 0
5932, 0
2712, 0
3253, 0
2915, 0
2976, 0
1536, 0
1694, 0
3722, 0
2214, 0
4094, 0
780, 0
3217, 0
4049, 0
3313, 0
3030, 0
903, 0
4425, 0
5738, 0
1222, 0
2824, 0
1376, 0
4334, 0
626, 0
1390, 0
4917, 0
3679, 0
3274, 0
6272, 0
4966, 0
1560, 0
3778, 0
4025, 0
3453, 0
1795, 0
4577, 0
3018, 0
1987, 0
6346, 0
13, 0
2258, 0
1296, 0
3147, 0
2221, 0
1019, 0
2228, 0
2545, 0
2567, 0
6153, 0
1057, 0
2074, 0
4995, 0
4957, 0
2843, 0
611, 0
1029, 0
1082, 0
1878, 0
2103, 0
4664, 0
3090, 0
22, 0
170, 0
920, 0
2982, 0
1081, 0
2312, 0
4758, 0
3412, 0
1270, 0
3437, 0
939, 0
2125, 0
4012, 0
2788, 0
4431, 0
845, 0
3072, 0
2028, 0
756, 0
2914, 0
6127, 0
1534, 0
3427, 0
5909, 0
3529, 0
1153, 0
1612, 0
1898, 0
1300, 0
638, 0
2936, 0
1175, 0
3713, 0
6138, 0
851, 0
3545, 0
3070, 0
6144, 0
4738, 0
810, 0
2527, 0
6136, 0
2930, 0
682, 0
1045, 0
6126, 0
2769, 0
3259, 0
3255, 0
646, 0
1810, 0
3163, 0
1473, 0
172, 0
3508, 0
3146, 0
3227, 0
3236, 0
3346, 0
3443, 0
3467, 0
3468, 0
3511, 0
3784, 0
4632, 0
4635, 0
4642, 0
4667, 0
5490, 0
6246, 0
3218, 1
1304, 1
1276, 1
1103, 1
706, 1
3714, 1
2741, 1
3753, 1
2901, 1
1158, 1
1215, 1
3179, 1
3772, 1
3813, 1
1861, 1
3709, 1
3833, 1
7016, 1
1768, 1
4862, 1
1143, 1
2050, 1
1049, 1
1206, 1
1680, 1
1714, 1
3526, 1
5730, 1
3092, 1
4713, 1
2979, 1
4768, 1
2906, 1
1170, 1
3523, 1
3803, 1
1647, 1
3698, 1
2691, 1
3059, 1
5682, 1
2438, 1
3222, 1
2045, 1
1735, 1
1679, 1
1859, 1
1139, 1
1862, 1
2008, 1
5736, 1
637, 1
1826, 1
3512, 1
1486, 1
2003, 1
2838, 1
1160, 1
930, 1
1697, 1
1576, 1
3292, 1
1277, 1
2070, 1
3152, 1
1605, 1
1178, 1
3740, 1
3524, 1
4000, 1
677, 1
1471, 1
1798, 1
4470, 1
1016, 1
2890, 1
2232, 1
3671, 1
3662, 1
1801, 1
4418, 1
5459, 1
2948, 1
3744, 1
2820, 1
1311, 1
3925, 1
2211, 1
913, 1
1646, 1
712, 1
4846, 1
3715, 1
3249, 1
1252, 1
1113, 1
1118, 1
1303, 1
225, 1
3919, 1
3896, 1
