nFID,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1.038636,0.831818,0.045455,0.000000,0.000000,0.000000,0.000000,0.159091,0.803409,0.759091,0.905682,0.931818,0.476136,0.859091,0.582955,0.825000,0.659091,0.764773,0.745455,0.802273,0.839773,0.919318,1.013636,0.734091
2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.353846,0.938462,0.776923,0.984615,1.176923,0.992308,1.138462,1.100000,1.176923,0.984615,1.146154,0.307692,1.000000,0.807692,0.992308,0.384615
3,0.689697,0.410505,0.262828,0.055152,0.010101,0.000000,0.008081,0.198586,0.898385,1.208486,1.218588,1.036365,1.137173,1.507678,1.352729,1.197375,1.172526,1.090910,1.317982,1.093335,0.898183,0.982223,1.005254,1.034142
4,1.239246,0.872299,0.400945,0.008395,0.000000,0.000000,0.059811,0.798951,1.438928,1.990028,1.740293,1.613640,1.748057,2.098108,1.852989,1.823083,1.775445,1.715528,1.842496,1.801152,1.744067,1.692757,1.859389,1.664320
5,0.042500,0.045238,0.011190,0.000000,0.000000,0.000000,0.000000,0.027381,0.080476,0.294762,0.136905,0.186905,0.263452,0.249167,0.266429,0.280714,0.194286,0.233929,0.281548,0.246786,0.269643,0.202857,0.273333,0.339167
6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020408,0.000000,0.000000,0.000000,0.086735,0.010204,0.000000,0.000000,0.000000,0.000000,0.000000,0.030612,0.040816,0.096939,0.270408,0.000000
7,0.396364,0.329091,0.172727,0.000000,0.000000,0.000000,0.000000,0.293636,0.933636,1.689090,1.229091,0.830909,1.402727,1.399091,1.100909,0.890000,1.304545,1.328182,2.354545,0.854545,1.177272,0.935454,0.911818,0.670000
8,0.358298,0.177021,0.012766,0.000000,0.000000,0.000000,0.000000,0.178723,0.395745,0.575319,0.585958,0.658298,0.482553,0.591489,0.540851,0.461277,0.743404,0.516170,0.699149,0.546383,0.668936,0.525106,0.548936,0.463830
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.237037,0.348148,0.277778,0.203704,0.200000,0.529630,0.388889,0.185185,0.185185,0.155556,0.388889,0.148148,0.000000,0.074074,0.433333,0.037037
10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012195,0.000000
11,0.294835,0.064463,0.000000,0.000000,0.000000,0.000000,0.000000,0.030992,0.185331,0.323760,0.317149,0.323554,0.326446,0.383058,0.375000,0.199174,0.350620,0.310124,0.300826,0.390909,0.407438,0.404339,0.547107,0.344422
12,0.988462,0.038462,0.000000,0.000000,0.000000,0.000000,0.000000,0.461538,0.915385,0.442308,0.911538,0.615385,0.384615,1.461538,1.492308,0.896154,0.761538,0.192308,0.830769,1.042308,1.107692,1.015385,1.542308,1.484615
