nFID, Class
879, 0
1526, 0
1529, 0
1541, 0
1545, 0
1546, 0
1547, 0
1552, 0
1553, 0
1554, 0
1555, 0
1556, 0
1557, 0
1561, 0
1563, 0
1570, 0
1571, 0
1590, 0
1592, 0
1593, 0
1600, 0
1602, 0
1617, 0
1638, 0
1654, 0
1759, 0
1781, 0
1796, 0
1803, 0
1840, 0
1844, 0
1846, 0
1852, 0
1857, 0
1865, 0
1879, 0
1880, 0
1881, 0
1882, 0
1886, 0
1893, 0
1903, 0
1912, 0
1918, 0
1919, 0
1942, 0
1955, 0
1956, 0
1972, 0
1983, 0
2015, 0
2020, 0
2084, 0
2085, 0
2086, 0
2088, 0
2095, 0
2097, 0
2106, 0
2137, 0
2163, 0
2170, 0
2186, 0
2191, 0
2197, 0
2205, 0
2206, 0
2213, 0
2229, 0
2240, 0
2244, 0
2245, 0
2252, 0
2255, 0
2299, 0
2327, 0
2329, 0
2332, 0
2344, 0
2346, 0
2354, 0
2355, 0
2361, 0
2369, 0
2370, 0
2374, 0
2375, 0
2384, 0
2414, 0
2419, 0
2423, 0
2425, 0
2447, 0
2453, 0
2462, 0
2463, 0
2468, 0
2476, 0
2483, 0
2491, 0
2492, 0
2495, 0
2514, 0
2516, 0
2520, 0
2528, 0
2531, 0
2536, 0
2540, 0
2548, 0
2551, 0
2552, 0
2554, 0
2556, 0
2557, 0
2562, 0
2564, 0
2569, 0
2574, 0
2575, 0
2580, 0
2589, 0
2590, 0
2613, 0
2627, 0
2635, 0
2640, 0
2664, 0
2676, 0
2677, 0
2680, 0
2696, 0
2697, 0
2700, 0
2733, 0
2825, 0
2833, 0
2895, 0
3015, 0
3019, 0
3057, 0
3066, 0
3074, 0
3087, 0
3105, 0
3117, 0
3118, 0
3127, 0
3135, 0
3137, 0
3149, 0
3148, 0
3154, 0
3165, 0
3169, 0
3192, 0
3193, 0
3202, 0
3209, 0
3239, 0
3243, 0
3266, 0
3273, 0
3278, 0
3283, 0
3287, 0
3289, 0
3290, 0
3298, 0
3295, 0
3299, 0
3301, 0
3304, 0
3305, 0
3310, 0
3312, 0
3311, 0
3318, 0
3320, 0
3322, 0
3324, 0
3325, 0
3328, 0
3329, 0
3333, 0
3339, 0
3345, 0
3347, 0
3354, 0
3355, 0
3356, 0
3360, 0
3362, 0
3366, 0
3365, 0
3369, 0
3372, 0
3378, 0
3380, 0
3386, 0
3389, 0
3390, 0
3406, 0
3423, 0
3428, 0
3429, 0
3431, 0
3441, 0
3450, 0
3448, 0
3479, 0
3451, 0
3488, 0
3494, 0
3496, 0
3498, 0
3518, 0
3589, 0
3616, 0
3725, 0
3787, 0
3806, 0
3816, 0
3840, 0
3845, 0
3854, 0
3864, 0
3870, 0
3923, 0
3936, 0
3953, 0
3957, 0
3955, 0
4023, 0
4081, 0
4122, 0
4206, 0
4219, 0
4291, 0
4290, 0
4355, 0
4402, 0
4408, 0
4468, 0
4469, 0
4472, 0
6137, 0
521, 1
522, 1
616, 1
629, 1
642, 1
662, 1
683, 1
727, 1
825, 1
905, 1
911, 1
1034, 1
1037, 1
1047, 1
1058, 1
1076, 1
1090, 1
1110, 1
1116, 1
1119, 1
1134, 1
1166, 1
1182, 1
1198, 1
1201, 1
1210, 1
1225, 1
1226, 1
1261, 1
1262, 1
1263, 1
1269, 1
1417, 1
1525, 1
1524, 1
1531, 1
1544, 1
1559, 1
1558, 1
1575, 1
1578, 1
1591, 1
1596, 1
1594, 1
1601, 1
1603, 1
1609, 1
1611, 1
1614, 1
1618, 1
1624, 1
1640, 1
1662, 1
1666, 1
1665, 1
1664, 1
1670, 1
1676, 1
1678, 1
1693, 1
1706, 1
1710, 1
1720, 1
1721, 1
1724, 1
1728, 1
1777, 1
1791, 1
1793, 1
1800, 1
1805, 1
1808, 1
1815, 1
1818, 1
1819, 1
1823, 1
1827, 1
1830, 1
1837, 1
1838, 1
1845, 1
1853, 1
1858, 1
1872, 1
1885, 1
1890, 1
1891, 1
1892, 1
1899, 1
1900, 1
1901, 1
1906, 1
1907, 1
1908, 1
1913, 1
1920, 1
1928, 1
1929, 1
1933, 1
1934, 1
1949, 1
1950, 1
1954, 1
1957, 1
1962, 1
1973, 1
1975, 1
1978, 1
1985, 1
1989, 1
1994, 1
2016, 1
2017, 1
2019, 1
2021, 1
2024, 1
2034, 1
2037, 1
2038, 1
2039, 1
2043, 1
2044, 1
2048, 1
2053, 1
2054, 1
2055, 1
2056, 1
2083, 1
2087, 1
2089, 1
2090, 1
2091, 1
2096, 1
2100, 1
2105, 1
2113, 1
2126, 1
2139, 1
2143, 1
2142, 1
2155, 1
2157, 1
2164, 1
2167, 1
2172, 1
2173, 1
2176, 1
2177, 1
2180, 1
2190, 1
2195, 1
2196, 1
2199, 1
2203, 1
2204, 1
2208, 1
2215, 1
2231, 1
2246, 1
2248, 1
2249, 1
2256, 1
2262, 1
2268, 1
2284, 1
2300, 1
2303, 1
2304, 1
2305, 1
2309, 1
2320, 1
2321, 1
2322, 1
2324, 1
2330, 1
2339, 1
2345, 1
2350, 1
2357, 1
2373, 1
2376, 1
2379, 1
2385, 1
2388, 1
2389, 1
2392, 1
2393, 1
2403, 1
2406, 1
2407, 1
2409, 1
2413, 1
2418, 1
2422, 1
2424, 1
2426, 1
2430, 1
2435, 1
2436, 1
2440, 1
2441, 1
2446, 1
2460, 1
2464, 1
2466, 1
2465, 1
2467, 1
2469, 1
2475, 1
